column_name,issue_id,issue_number,url,state,labels,created_at,updated_at,title,body,comments
Declined requests,902642835,181,https://github.com/ror-community/ror-updates/issues/181,closed,level 1; out of scope; new record; jaguar; org-requested,2021-05-26 16:27:35,2021-05-27 19:17:39,"Add a new organization to ROR: 
 
MatchOffice","Summary of request: Add a new organization to ROR

Name of organization: MatchOffice
Website: https://www.matchoffice.no
Link to publications: https://www.matchoffice.com/news
Organization type: Company
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Other names for the organization: Lokalebasen Aps
Acronym/abbreviation: Ltd
Related organizations: 
City: Oslo
Country: Norway
Other information about this request: ","mariagould
05/26/2021, 16:37:39 | 05/26/2021, 16:37:52
comment_text: This appears to be a commercial real estate company that is not engaged in research. The request does not include examples of published research and I was not able to locate examples online. Therefore I consider this organization to be out of scope for inclusion in ROR. 

---
arthurpsmith
05/27/2021, 13:27:54 | 05/27/2021, 13:27:54
comment_text: Agreed, out of scope. I will mark it as such.

---
"
Declined requests,868802376,76,https://github.com/ror-community/ror-updates/issues/76,closed,level 1; already in ror; jaguar; org-requested,2021-04-27 12:34:41,2021-05-11 00:00:11,Add a new organization to ROR: NSF NOIRLab,"Summary of request: Add a new organization to ROR

Name of organization: NSF NOIRLab
Website: https://noirlab.edu/public/ 
Link to publications: https://www.noao.edu/noao/library/NOIRLab-MSO-CSDC-FY20-Publications.html, https://www.gemini.edu/science/publications/, https://www.noao.edu/noao/library/NOAO_Publications.html
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Ringgold ID: 
Other names for the organization: NOAO, CTIO, KPNO, Gemini, MSO, CSDC are all names now considered part of NOIRLab
Acronym/abbreviation: 
Related organizations: 
City: 
Country: 
Other information about this request: NSF NOIRLab, or NOIRLab for short, is a new organization consisting of previously existing programs (Gemini, KPNO, CTIO, and LSST, now renamed Vera C. Observatory) in addition to the newly formed CSDC program.","nlundvick
05/10/2021, 19:42:34 | 05/10/2021, 19:42:34
comment_text: Already in ROR: https://ror.org/03zmsge54

---
mariagould
05/10/2021, 23:59:59 | 05/10/2021, 23:59:59
comment_text: Thanks for catching this! 

---
"
Declined requests,871180693,119,https://github.com/ror-community/ror-updates/issues/119,closed,level 1; out of scope; new record; lion; org-requested,2021-04-29 15:55:32,2021-05-21 16:51:52,"Add a new organization to ROR: 
 ()
CelerSMS","Summary of request: Add a new organization to ROR

Name of organization: CelerSMS
Website: https://www.celersms.com/
Link to publications: https://www.scribd.com/document/502374925/Introduction-to-SMPP https://news.google.com/publications/CAAqBwgKMJr6lAsw386qAw
Wikipedia page: 
Wikidata ID: https://www.wikidata.org/wiki/Q106367983
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Ringgold ID: 
Other names for the organization: CelerSMS S.A.S.
Acronym/abbreviation: 
Related organizations: 
City: CLL 121 72A 47, Bogota, Colombia
Country: 
Other information about this request: ","nlundvick
05/15/2021, 18:03:19 | 05/15/2021, 18:03:19
comment_text: From About page: ""We focus on IoT, M2M and communication technologies, especially SMS and MMS, Mobile Marketing, Geolocation and Mobile Apps. Our customers and partners are technological companies in multiple areas, including logistics and transportation, IT, ISP."" This seems to be an IT company. Publications are mostly how-tos/technical articles. Organization does not appear to be a research organization. I did not find any instances of ""CelerSMS"" affiliation use. 

Determination: Does not meet criteria for inclusion in ROR per the **ROR Curation Policies & Workflows**

---
arthurpsmith
05/17/2021, 19:55:26 | 05/17/2021, 19:55:26
comment_text: I agree with @nlundvick. The linked ""publications"" are not academic works but self-published technical articles or a powerpoint presentation; also there appear to be only two people writing these. Not suitable for ROR in my opinion also.

---
"
Declined requests,908442154,187,https://github.com/ror-community/ror-updates/issues/187,closed,level 1; out of scope; new record; jaguar; org-requested,2021-06-01 15:50:19,2021-06-07 15:24:18,"Add a new organization to ROR: 
 
Mental Asylum of Education","Summary of request: Add a new organization to ROR

Name of organization: Mental Asylum of Education
Website: https://twitter.com/arjundahalard
Link to publications: https://vixra.org/author/arjun_dahal
Organization type: 
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Other names for the organization: Mental Asylum of Education
Acronym/abbreviation: MenAsyEdu
Related organizations: 
City: Gauradaha-3, Jhapa
Country: Nepal
Other information about this request: I have wrote address of my twitter profile,in section of website. And I hope to get other IDs too, that was asked in form to get ROR ID. ","mariagould
06/04/2021, 17:48:45 | 06/04/2021, 17:48:45
comment_text: It is not clear that this is an actual organization. The organization does not have its own website and does appear to be used as an affiliation in formal publications. Therefore, this organization does not appear to be in scope for ROR. 

---
carlyrobinson
06/07/2021, 13:55:09 | 06/07/2021, 13:55:09
comment_text: Agree that this does not seem to be an organization and is not within scope. It seems to be a single researcher, therefore they should obtain an ORCID iD. 

---
"
Declined requests,868233278,44,https://github.com/ror-community/ror-updates/issues/44,closed,level 1; out of scope; new record; lion,2021-04-26 21:55:39,2021-07-23 20:20:36,Add a new organization to ROR: Brandon Capital Partners ,"Summary of request: Add a new organization to ROR

Name of organization: Brandon Capital Partners 
Website: https://www.brandoncapital.com.au/
Link to publications: https://www.brandoncapital.com.au/investment-portfolio/
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Ringgold ID: 
Other names for the organization: 
Acronym/abbreviation: 
Related organizations: 
City: 
Country: 
Other information about this request: ","arthurpsmith
05/19/2021, 14:46:42 | 05/19/2021, 14:46:42
comment_text: Not in scope. They do not appear to be engaged in scholarly research; rather they do venture funding for bringing biomedical products to market. I could find no use of them as an affiliation in Google Scholar or other such sources.

---
carlyrobinson
06/22/2021, 11:41:39 | 06/22/2021, 11:41:39
comment_text: Agree that this is not within scope. I could find no evidence of the organization's involvement in scholarly research. 

---
"
Declined requests,868235653,58,https://github.com/ror-community/ror-updates/issues/58,closed,level 1; out of scope; new record; lion,2021-04-26 22:00:01,2021-07-23 20:20:42,Add a new organization to ROR: IPR MEDIA,"Summary of request: Add a new organization to ROR

Name of organization: IPR MEDIA LLC
Website: http://www.iprbookshop.ru/

Link to publications: 
https://doi.org/10.23682/98494 
https://doi.org/10.23682/98498 
https://doi.org/10.23682/98502  
https://doi.org/10.23682/94212  
https://doi.org/10.23682/93562 

Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Ringgold ID: 
Other names for the organization: 
Acronym/abbreviation: 
Related organizations: 
City: Saratov
Country: Russia
Other information about this request: ","arthurpsmith
05/03/2021, 20:46:27 | 05/03/2021, 20:46:27
comment_text: Clearly they publish books (and periodicals? I couldn't see their list of periodicals though) in Russian, and provide access electronically. However, I don't see them involved in research directly, and found no sign of the use of ""IPR Books"" or ""IPR Media"" as an affiliation. I think this is not suitable for ROR at this time, at least unless we get further evidence they are used as an affiliation or are involved in research more significantly somehow. Willing to hear somebody else's opinion on this too of course!

---
carlyrobinson
06/21/2021, 16:00:20 | 06/21/2021, 16:00:20
comment_text: I agree with @arthurpsmith assessment. It was difficult to find information about the organization and what I could translate didn't provide much insight. Would be helpful if they provided more information about why a ROR ID would be helpful. 

---
"
Declined requests,926438663,206,https://github.com/ror-community/ror-updates/issues/206,closed,level 1; out of scope; new record; jaguar; org-requested,2021-06-21 17:25:26,2021-07-23 20:20:47,"Add a new organization to ROR: 
 
Invixium","Summary of request: Add a new organization to ROR

Name of organization: Invixium
Website: https://www.invixium.com
Link to publications: https://www.invixium.com/blog/
Organization type: 
Wikipedia page: 
Wikidata ID: https://www.wikidata.org/wiki/Q107222290
ISNI ID: https://isni.org/isni/0000000502692757
GRID ID: 
Crossref Funder ID: 
Other names for the organization: Invixium Inc.
Acronym/abbreviation: IXM
Related organizations: 
City: Toronto
Country: Canada
Other information about this request: At Invixium, We do research on biometric technology and touchless access control to prevent un authentic access.","nlundvick
07/12/2021, 20:32:43 | 07/12/2021, 20:32:43
comment_text: This is a biometric hardware and software company. Link to publications is a corporate blog. No affiliation use found in scholarly literature (Google Scholar, Web of Science). Determination: Not in scope

---
arthurpsmith
07/13/2021, 13:27:47 | 07/13/2021, 13:27:47
comment_text: I've looked a bit also, I agree with nlundvick, not in scope. I did find an ISNI id for them.

---
"
Declined requests,945629611,216,https://github.com/ror-community/ror-updates/issues/216,closed,duplicate,2021-07-15 18:02:58,2021-07-23 20:21:40,"Add a new organization to ROR: 
 
Microscopy Australia","Summary of request: Add a new organization to ROR

Name of organization: 
ROR ID: 
Which part of the record needs to be changed? 
Description of change: 

Name of organization: Microscopy Australia
Website: https://www.micro.org.au
Link to publications: https://micro.org.au/news-events/news/
Organization type: 
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Other names for the organization: Australian Microscopy and Microanalysis Research Facility, AMMRF (formerly)
Acronym/abbreviation: n/a
Related organizations: 
City: Sydney
Country: Australia
Other information about this request: Microscopy Australia is a consortium of 9 university-based microscopy facilities.",
Declined requests,948735873,219,https://github.com/ror-community/ror-updates/issues/219,closed,duplicate,2021-07-20 14:52:54,2021-07-23 20:21:45,"Add a new organization to ROR: 
 
Institute of Mental Health and Neurosciences, Kozhikode, Kerala, India","Summary of request: Add a new organization to ROR

Name of organization: Institute of Mental Health and Neurosciences, Kozhikode, Kerala, India
Website: http://imhans.ac.in/
Link to publications: https://doi.org/10.1038/s41380-021-01199-7, https://doi.org/10.1038/s41398-021-01392-w https://doi.org/10.1093/schbul/sbab007, 
Organization type: 
Wikipedia page: https://en.wikipedia.org/wiki/Institute_of_Mental_Health_and_Neurosciences
Wikidata ID: https://www.wikidata.org/wiki/Q98113942
ISNI ID: https://isni.org/isni/0000000460038617
GRID ID: 
Crossref Funder ID: 
Other names for the organization: none
Acronym/abbreviation: IMHANS
Related organizations: 
City: Kozhikode
Country: India
Other information about this request: ",
Declined requests,956268272,229,https://github.com/ror-community/ror-updates/issues/229,closed,duplicate,2021-07-29 23:07:31,2021-08-04 23:34:16,"Add a new organization to ROR: 
 
Australian Plant Phenomics Facility","Summary of request: Add a new organization to ROR

Name of organization: Australian Plant Phenomics Facility
Website: https://www.plantphenomics.org.au/
Link to publications: https://doi.org/10.1111/ele.13353 , https://doi.org/10.3389/fpls.2020.618342 , https://doi.org/10.1186/s12870-019-1723-0
Organization type: 
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Other names for the organization: None
Acronym/abbreviation: APPF
Related organizations: University of Adelaide, Australian National University, CSIRO - these host the three nodes of APPF
City: Adelaide, South Australia
Country: Australia
Other information about this request: ",
