column_name,issue_id,issue_number,url,state,labels,created_at,updated_at,title,body,comments
Done (released on production),961174909,237,https://github.com/ror-community/ror-updates/issues/237,closed,level 1; new record; jaguar; grid,2021-08-04 22:54:17,2021-09-30 12:58:45,"Add a new organization to ROR: 
 
Centro de Investigación Biomédica en Red de Enfermedades Respiratorias","Summary of request: Add a new organization to ROR

Name of organization: Centro de Investigación Biomédica en Red de Enfermedades Respiratorias
Website: https://ciberes.org
Link to publications: https://doi.org/10.3389/fmicb.2021.660403 ; https://doi.org/10.1038/s41467-021-24383-3 ; 10.1080/21505594.2021.1937883 ; https://doi.org/10.1128/JVI.00321-21 ; 
Organization type: Government (An organization that is part of or operated by a national or regional government and that conducts or supports research)
Wikipedia page: 
Wikidata ID: 
ISNI ID: https://isni.org/isni/0000000478633182
GRID ID: 
Crossref Funder ID: 
Other names for the organization: CIBER de Enfermedades Respiratorias; Biomedical Research Networking Center on Respiratory Diseases
Acronym/abbreviation: CIBERES
Related organizations: Related institutions: https://ror.org/00zca7903 ; https://ror.org/01ygm5w19 ;  https://ror.org/03cn6tr16 ; https://ror.org/00dwgct76 ; https://ror.org/009byq155 ; https://ror.org/01gm5f004 ; https://ror.org/050q0kv47 ; https://ror.org/02s65tk16
City: Madrid
Country: Spain
Year established: 
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets
Other information about this request: ","nlundvick
08/28/2021, 18:06:53 | 08/28/2021, 18:06:53
comment_text: In scope, multiple instances of affiliation use. Sibling organizations already in ROR. Recommend adding to ROR.

---
arthurpsmith
09/07/2021, 12:17:49 | 09/07/2021, 12:18:05
comment_text: I added the ISNI for this research institute; they have a slightly different English version of the name - ""Biomedical Research Network Centre in Respiratory Diseases"", maybe that should be another alias?

Also note that the type for the sibling organizations is listed as ""Facility""; that may be more appropriate than ""government"" here, I think we generally use ""Facility"" for research institutes like this one.

And yes, this should definitely be in ROR.

---
mariagould
09/30/2021, 12:57:59 | 09/30/2021, 12:57:59
comment_text: https://ror.org/0119pby33 

---
"
Done (released on production),965416894,246,https://github.com/ror-community/ror-updates/issues/246,closed,level 1; new record; jaguar; org-requested; grid,2021-08-10 21:32:01,2021-09-30 13:01:42,"Add a new organization to ROR: 
 
Bocas Del Toro Research Station","Summary of request: Add a new organization to ROR

Name of organization: Bocas Del Toro Research Station
Website: https://stri.si.edu/facility/bocas-del-toro
Link to publications: https://doi.org/10.5479/si.01960768.38.73
Organization type: Facility (A specialized facility where research takes place, such as a laboratory or telescope or dedicated research area)
Wikipedia page: https://en.wikipedia.org/wiki/Bocas_del_Toro_Research_Station
Wikidata ID: https://www.wikidata.org/wiki/Q4936149
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Other names for the organization: None
Acronym/abbreviation: None
Related organizations: Smithsonian Institution (https://ror.org/01pp8nd67), Smithsonian Tropical Research Institute (https://ror.org/035jbxr46)
City: Colón Island, 9.352, -82.256 
Country: Panama
Year established: 1998
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge a research facility
Other information about this request: ","mariagould
08/13/2021, 18:47:04 | 08/13/2021, 18:51:52
comment_text: Part of a cluster of requests from the Smithsonian. This one has already been processed in the latest GRID release.

Related requests: 
- #243 
- #244
- #245
- #250 
- #251 
- #252 

---
nlundvick
08/28/2021, 18:31:44 | 08/28/2021, 18:31:44
comment_text: This is a Smithsonian Tropical Research Institute research station. All affiliation uses for this organization, and related requests, are at the parent level. URL is a subdomain of STRI. Not in scope. Recommend requestor use ROR for STRI (https://ror.org/035jbxr46)

---
nlundvick
09/08/2021, 13:05:29 | 09/08/2021, 13:05:29
comment_text: Per ROR curation team meeting 2021-09-07, this should be added to ROR with Smithsonian Tropical Research Institute (https://ror.org/035jbxr46) as the parent organization

---
mariagould
09/30/2021, 13:01:24 | 09/30/2021, 13:01:24
comment_text: https://ror.org/02ftc8763

---
"
Done (released on production),965416755,239,https://github.com/ror-community/ror-updates/issues/239,closed,level 3; update record; jaguar; org-requested; grid,2021-08-10 21:31:54,2021-11-09 17:40:35,"Modify the information in an existing ROR record: 
University of Applied Sciences Würzburg-Schweinfurt https://ror.org/01k5h5v15
","Summary of request: Modify the information in an existing ROR record

Name of organization: University of Applied Sciences Würzburg-Schweinfurt
ROR ID: https://ror.org/01k5h5v15
Which part of the record needs to be changed? Other names or name versions listed in the record
Description of change: The german aliases lack the addition of ""Würzburg-Schweinfurt"". They should be ""Fachhochschule Würzburg-Schweinfurt"" and ""Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt"".
Other information about this request: ","MSpenger
08/20/2021, 09:46:00 | 08/20/2021, 09:46:00
comment_text: The requested change should be added to the aliases. There are many ""Fachhochschule"" and ""Hochschule für angewandte Wissenschaften"" and the addition of a city is necessary to distinguish between them.

---
arthurpsmith
08/23/2021, 20:35:12 | 08/23/2021, 20:35:12
comment_text: Oh, yes definitely the German names on this are very ambiguous right now! Let's get this fixed!

---
"
Done (released on production),996466587,279,https://github.com/ror-community/ror-updates/issues/279,closed,level 2; update record; kitten; org-requested; grid,2021-09-14 21:44:46,2021-09-30 13:24:47,"Modify the information in an existing ROR record: 
IU International University of Applied Sciences https://ror.org/04fdat027
","Summary of request: Modify the information in an existing ROR record

Name of organization: IU International University of Applied Sciences
ROR ID: https://ror.org/04fdat027
Which part of the record needs to be changed? Primary name, Other names or name versions listed in the record, Organization website
Description of change: Renaming of the institution in ""IU International University of Applied Sciences"" (primary name). Other name version: ""IU Internationale Hochschule"". See www.iu.org

",
Done (released on production),982824685,271,https://github.com/ror-community/ror-updates/issues/271,closed,level 2; update record; kitten; org-requested; grid,2021-08-30 13:59:57,2021-10-01 10:29:57,"Modify the information in an existing ROR record: 
University of Tromsø - The Arctic University of Norway https://ror.org/00wge5k78
","Summary of request: Modify the information in an existing ROR record

Name of organization: University of Tromsø - The Arctic University of Norway
ROR ID: https://ror.org/00wge5k78
Which part of the record needs to be changed? Primary name, Other names or name versions listed in the record
Description of change: Current primary (english) name for institution is: UiT The Arctic University of Norway.
Keep ""University of Tromsø - The Arctic University of Norway"" as a name version (this is an older name for the university). 
Add the following as a name version: UiT Norgga árktalaš universitehta
An overview of the current name forms for the university can be found here: https://uit.no/organisasjon/enhetsnavn

","arthurpsmith
09/07/2021, 13:27:04 | 09/07/2021, 13:27:04
comment_text: Yes, let's make these changes exactly as requested.

---
"
Done (released on production),965416812,242,https://github.com/ror-community/ror-updates/issues/242,closed,level 3; update record; kitten; org-requested; grid,2021-08-10 21:31:57,2021-10-01 10:33:05,"Modify the information in an existing ROR record: 
TU Wien https://ror.org/04d836q62
","Summary of request: Modify the information in an existing ROR record

Name of organization: TU Wien
ROR ID: https://ror.org/04d836q62
Which part of the record needs to be changed? Organization website
Description of change: The link to the website was changed to: https://www.tuwien.at/en/, i.e. it does not end on ac.at anymore. This news message (alas only available in German) is proof to the changes: https://www.tuwien.at/tu-wien/aktuelles/news/news/take-off-die-tuw-website-neu 

**Curator comments (MG):**
Change website to https://www.tuwien.at (per ROR policy of avoiding language suffixes on websites)","mariagould
10/01/2021, 10:32:55 | 10/01/2021, 10:32:55
comment_text: This update was made in the September GRID/ROR release. GRID used the URL with the language suffix. I recommend we consider this update to be done for now, and we will address URL cleanup across the registry at a later point. 

---
"
Done (released on production),956268249,226,https://github.com/ror-community/ror-updates/issues/226,closed,level 3; update record; kitten; org-requested; grid,2021-07-29 23:07:29,2021-10-01 13:02:21,"Modify the information in an existing ROR record: 
UNIVERSIDAD DE CASTILLA-LA MANCHA https://ror.org/05r78ng12
","Summary of request: Modify the information in an existing ROR record

Name of organization: UNIVERSIDAD DE CASTILLA-LA MANCHA
ROR ID: https://ror.org/05r78ng12
Which part of the record needs to be changed? Primary name, Organization website
Description of change: https://www.uclm.es

**Curator notes (MG):**
The website in the current record is http://www.uclm.es/english/ and no longer resolves. 
The website should be changed to the URL indicated the request https://www.uclm.es

The request also indicates that the primary name should be changed but no information was provided about the name change. According to the organization website, it appears that the name in the record is correct. We will continue to use the English version of the name as primary per ROR policies. ","mariagould
10/01/2021, 12:58:53 | 10/01/2021, 12:58:53
comment_text: The URL was updated in the September GRID/ROR release. The URL still retains the language suffix. We will address this at a later point as part of more wholesale link cleanup. 

---
"
Done (released on production),916539003,199,https://github.com/ror-community/ror-updates/issues/199,closed,level 2; update record; kitten; org-requested; grid,2021-06-09 18:38:20,2021-10-01 13:02:02,"Modify the information in an existing ROR record: 
Bundesanstalt für Wasserbau https://ror.org/03z6hnk02
","Summary of request: Modify the information in an existing ROR record

Name of organization: Bundesanstalt für Wasserbau
ROR ID: https://ror.org/03z6hnk02
Which part of the record needs to be changed? Primary name, Other names or name versions listed in the record, Organization website, Other IDs for the organization
Description of change: 1.) Please change the primary name to: Bundesanstalt für Wasserbau
English name (only secondary!): Federal Waterways Engineering and Research Institute

2.) Please add - already existing IDs:
ISNI: 0000 0001 0057 9452
grid.493870.1
Ringold: 130420

3.) Please, change our website: 
http://www.baw.de

4.) Please add:
https://de.wikipedia.org/wiki/Bundesanstalt_für_Wasserbau

5.) Please add:
https://orcid.org/members/0010f00002GWMgjAAH-bundesanstalt-fuer-wasserbau

","MSpenger
07/13/2021, 10:48:56 | 07/13/2021, 10:49:07
comment_text: Looks good to me. 

Maybe the Wikidata-ID could also be added: https://www.wikidata.org/wiki/Q1005545

Interesting aspect of including the ORCID Member-ID.

---
arthurpsmith
07/13/2021, 13:33:48 | 07/13/2021, 13:33:48
comment_text: Looks fine to me also (and doesn't need a second review here I think). The main change they are requesting is to make the German name and website the primary ones, which I think is fine. Can we actually add Ringgold and ORCID Member Id's? Probably a good idea if it's possible.

---
mariagould
07/13/2021, 14:51:17 | 07/13/2021, 14:51:17
comment_text: Just a note that we can't add Ringgold and ORCID Member IDs currently but this is something to explore in future. 

---
"
Done (released on production),876831072,151,https://github.com/ror-community/ror-updates/issues/151,closed,level 3; update record; kitten; org-requested; grid,2021-05-05 21:01:21,2021-10-01 13:07:27,Modify Pusan National University (https://ror.org/01an57a31),"Summary: Modify an existing organization in ROR

Name of organization: Pusan National University 
ROR ID: https://ror.org/01an57a31
Description of change: English Homepage of Pusan National University has been moved to https://www.pusan.ac.kr/eng/Main.do. Please update the website information.","HoAdrianK
05/11/2021, 08:41:02 | 05/11/2021, 08:41:02
comment_text: Verified that the English homepage is now: https://www.pusan.ac.kr/eng/Main.do
The homepage URL in the ROR record takes you to a Korean page.
Please update the ROR record as requested.

---
mariagould
05/13/2021, 23:05:55 | 05/13/2021, 23:05:55
comment_text: Flagging this for discussion so we can make sure we are all on the same page about approaching domain names in the metadata. Our working guidance states that we should use the generic form of a URL (even if it leads to a non-English site) if one is available. So I would recommend that we change the URL to https://www.pusan.ac.kr/

---
"
Done (released on production),892289736,172,https://github.com/ror-community/ror-updates/issues/172,closed,level 2; update record; jaguar; org-requested; grid,2021-05-14 22:46:55,2021-10-01 13:10:34,Modify the information in an existing ROR record: Macromedia (https://ror.org/03czk8k96),"Summary of request: Modify the information in an existing ROR record

Name of organization: Macromedia
ROR ID:  https://ror.org/03czk8k96
Which part of the record needs to be changed? Primary name, Other names or name versions listed in the record, Organization website
Description of change: Hochschule Macromedia University of Applied Sciences
Macromedia GmbH 
Naststraße 11
70376 Stuttgart
Homepage:
https://www.macromedia.de/","MSpenger
06/08/2021, 12:06:25 | 06/08/2021, 12:06:25
comment_text: name change seems to be common with Universities of Applied Sciences in Germany (compare 051qw9f78, 00ftx0026)

some sources have a comma in the title: https://www.macromedia-fachhochschule.de/de/ (Copyright notice at the end of site)

sources are: https://www.macromedia-fachhochschule.de/en/university/about-us/

Wikidata Q-ID could be added as well: https://www.wikidata.org/wiki/Q1346417

---
mariagould
10/01/2021, 13:10:14 | 10/01/2021, 13:10:21
comment_text: Name was updated in September ROR/GRID release. We should add the Wikidata ID later as part of a comprehensive Wikidata cleanup effort. 

---
"
