column_name,issue_id,issue_number,url,state,labels,created_at,updated_at,title,body,comments
Hold for later,868236374,67,https://github.com/ror-community/ror-updates/issues/67,open,level 1; new record; lion; hold for later,2021-04-26 22:01:21,2021-06-07 15:27:18,Add a new organization to ROR: Continental Scientific Drilling Facility,"Summary of request: Add a new organization to ROR

Name of organization to be added | Continental Scientific Drilling Facility

Organization website | https://csdco.umn.edu

Briefly explain why you are requesting a ROR ID for this organization and how the ROR ID will be used. | The Continental Scientific Drilling Facility is a national facility funded by NSF for support of scientific research involving drilling and coring on land and in lakes, core analysis, and curation. The ROR ID will allow unique linkages between the facility and the researchers it supports, and the outputs from this research.

Provide DOI(s) or links for research associated with this organization, such as published articles that include the organization's name as an affiliation. If DOIs or links are not available, describe the research-related activities of this organization. | https://experts.umn.edu/en/organisations/continental-scientific-drilling-facility

Other relevant metadata about the organization (e.g., name variants in other languages, related records in ROR, links to external records such as Wikidata) | Name variants include CSD Facility, CSDF, and the former facilities that merged to form the current facility in mid-2020: LacCore and CSDCO (Continental Scientific Drilling Coordination Office). Earlier variants include the Limnological Research Center or LRC, which sometimes still appear in publications.

Please add any other information about this request if needed | We are rebuilding our website and will soon have a new URL, which we will update with ROR when the website launches.

","nlundvick
05/10/2021, 19:30:16 | 05/10/2021, 19:30:16
comment_text: Determination: The **Continental Scientific Drilling Coordination Office (CSDCO)** is an NSF research facility sufficiently independent from parent organization (University of Minnesota) and has affiliation use (see https://sd.copernicus.org/articles/26/1/2019/). Recommend adding CSDCO to ROR

---
arthurpsmith
05/17/2021, 18:31:26 | 05/17/2021, 18:31:26
comment_text: The request indicates this is a new organization - ""Continental Scientific Drilling Facility"", which combines the older LacCore and CSDCO. I cannot find any reference to this new organization other than the link they provide for publications: https://experts.umn.edu/en/organisations/continental-scientific-drilling-facility and an NSF grant award from May last year: https://www.nsf.gov/awardsearch/showAward?AWD_ID=1951112

As @nlundvick noted there are affiliations using the older entities (although they also seem to always be at University of Minnesota). The CSDCO website which is the main link provided does not mention the new name. Perhaps we should wait for their new website? Otherwise I do think this is generally suitable.

---
nlundvick
06/03/2021, 18:27:31 | 06/03/2021, 18:27:31
comment_text: I agree with @arthurpsmith - should wait until there is an official website that has ""Continental Scientific Drilling Facility"" as name of new org created by merger of LacCore and CSDCO. I propose moving to Hold for Later

---
arthurpsmith
06/04/2021, 14:33:50 | 06/04/2021, 14:33:50
comment_text: I moved it - we should review maybe in September 2021?

---
"
Hold for later,879879414,170,https://github.com/ror-community/ror-updates/issues/170,open,level 1; new record; jaguar; hold for later; org-requested,2021-05-07 22:49:22,2021-05-25 15:52:40,Add a new organization to ROR: Association for Science,"Summary of request: Add a new organization to ROR

Name of organization: Association for science
Website: http://www.4science.ge
Link to publications: https://journals.4science.ge/, https://doi.org/10.52340/sp1.1
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID:  
Ringgold ID: 
Other names for the organization: ასოციაცია მეცნიერებისათვის
Acronym/abbreviation: AFS
Related organizations: 
City: Tbilisi
Country: Georgia
Other information about this request: ","carlyrobinson
05/19/2021, 19:06:37 | 05/19/2021, 19:06:37
comment_text: This organization is not already in ROR. Seems like a small organization with 3 people. I can't tell if they are publishing research. The publication page (https://journals.4science.ge/) lists journals, but I wasn't able to find the Association for Science as an affiliation. Some of the journals do not yet have any issues. This may be a new organization that is still getting started. I was unable to find much about the organization in Google or Wikipedia, but that may be because it's a common name. May be helpful to discuss with the group. 

---
arthurpsmith
05/21/2021, 14:05:45 | 05/21/2021, 14:05:45
comment_text: I found some papers by the president, Tamar Khakhutashvili (search Google scholar) which use this organization as an affiliation. And it is a publisher. But I agree it also seems very small and new so maybe it does not really need a ROR id, or not yet.

---
mariagould
05/25/2021, 15:52:24 | 05/25/2021, 15:52:24
comment_text: Difficult to verify this organization because the links are not resolving. We would like to consider reviewing this again in the future when the organization is more established and the website is functional. It also seems as though this organization might be related to Georgia Open Digital Repository and/or Georgia Integrated Library Information System Consortium's Digital Repository, which might need to be included in ROR instead or as well. 

---
"
Hold for later,828527218,11,https://github.com/ror-community/ror-updates/issues/11,open,update record; hold for later; needs discussion,2021-03-11 00:35:38,2021-04-28 19:48:31,Update Woods Hole Oceanographic Institute https://ror.org/03zbnzt98,"Description: Should we remove the French version of the name of Woods Hole Oceanographic Institute? This is a policy decision.

Details:
Organization: Woods Hole Oceanographic Institute
ROR ID: https://ror.org/03zbnzt98
Requested change: Remove French version of name to avoid confusion


",
Hold for later,763010532,5,https://github.com/ror-community/ror-updates/issues/5,open,update record; hold for later; needs discussion,2020-12-11 22:46:48,2021-04-20 22:35:38,Update École des Ponts ParisTech https://ror.org/02nwvxz07,"Feedback: special characters in name cause problems in tools relying on ROR data. 

Example: École des Ponts ParisTech (https://ror.org/02nwvxz07) 

Possible solution: Remove accent in primary name and include accented version in alias field?",
Hold for later,763160543,7,https://github.com/ror-community/ror-updates/issues/7,open,hold for later,2020-12-12 01:42:03,2021-04-16 20:32:09,Investigate record: https://ror.org/01br3aa17,"User feedback re: Biophysics Center of Armenian (https://ror.org/01br3aa17)     

> This ""Biophysics"" entity is not shown in the diagram of the current structure of the Armenian Academy of Sciences (the domain sci.am/)

We should investigate whether this organization is still active. If not, the record should be deprecated.",
Hold for later,871241996,141,https://github.com/ror-community/ror-updates/issues/141,open,hold for later; merge records,2021-04-29 16:55:14,2021-04-29 17:08:01,Merge Open Geospatial Consortium records (https://ror.org/00fsdxs93 and https://ror.org/00nz0j151),"We have two records in ROR for the Open Geospatial Consortium:

1. https://ror.org/00fsdxs93 is a US location
2. https://ror.org/00nz0j151 is UK location

The website https://www.ogc.org/ lists the location as Massachusetts USA. 

Recommendation: We should merge the two records and redirect the UK record to the US one. The website in the US record needs to be updated from http://www.opengeospatial.org/ to https://www.ogc.org/

",
Hold for later,871265714,144,https://github.com/ror-community/ror-updates/issues/144,open,hold for later; org-requested; merge records,2021-04-29 17:25:06,2021-04-29 17:25:27,Redirect Instituto Superior de Contabilidade e Administracao do Porto (https://ror.org/00wg3s094),"Summary: Redirect a subsidiary unit to its parent organization

Name of organization: Instituto Superior de Contabilidade e Administracao do Porto 
ROR ID: https://ror.org/00wg3s094)
Description of change: The Polytechnic Institute of Porto (https://ror.org/04988re48) has eight schools. Someone in one of the Schools (ISCAP) also decide to create a ROR, that is not correct because the top organisation is the Polytechnic Institut of Porto, they are just one of our eight schools, as anyone can see in the URL: www.iscap.ipp.pt. They exist since 1886, but by the Law nº70/88, from 3 of March of 1988 they were integrated in Polytechnic Institut of Porto (https://dre.pt/web/guest/pesquisa/-/search/287592/details/normal?q=decreto-lei+n%C2%BA70%2F88+de+3+de+mar%C3%A7o)
",
Hold for later,871240153,138,https://github.com/ror-community/ror-updates/issues/138,open,hold for later; merge records,2021-04-29 16:53:00,2021-04-30 14:17:52,Merge National Yang Ming University and National Chiao Tung University,"Summary of request: Merge two or more ROR records

National Yang Ming University (https://ror.org/009h5ks85)
National Chiao Tung University (https://ror.org/00se2k293)

Institutions have merged into National Yang Ming Chiao Tung University as of February 2021 - see https://www.nycu.edu.tw/about-nycu/about-nycu/
",
Hold for later,871240109,135,https://github.com/ror-community/ror-updates/issues/135,open,hold for later; merge records,2021-04-29 16:52:57,2021-04-30 14:21:06,Merge duplicate records for Qamcom Research & Technology (Sweden),"ROR has duplicate records for Qamcom Research & Technology (Sweden). These need to be merged.

Duplicate records:
1. https://ror.org/0162qn279
2. https://ror.org/01jkn7h76

Record 2 has less metadata so it should be redirected to Record 1.

",
Hold for later,878057811,160,https://github.com/ror-community/ror-updates/issues/160,open,hold for later; merge records,2021-05-06 21:26:18,2021-05-06 21:27:04,Redirect Instytut Biotechnologii i Antybiotyków (https://ror.org/024za3n32),"Instytut Biotechnologii i Antybiotyków (https://ror.org/024za3n32) has been incorporated into  Łukasiewicz Research Network – Industrial Chemistry Institute (https://ror.org/00jhf1r34) per https://ichp.pl/en/.

Therefore, the records should be merged and the ID for Instytut Biotechnologii i Antybiotyków should be redirected to https://ror.org/00jhf1r34. 

",
