column_name,issue_id,issue_number,url,state,labels,created_at,updated_at,title,body,comments
Projects,1178224021,566,https://github.com/ror-community/ror-updates/issues/566,open,level 2; update record; lion; project,2022-03-23 14:44:45,2022-03-23 14:49:18,Project - Redirected Wikidata IDs,"@arthurpsmith has identified 700 records for which Wikidata IDs have been redirected to new values. We should update the Wikidata IDs in these records to correspond to their present/redirected values in Wikidata.

[wikidata_correct_redirects.xlsx](https://github.com/ror-community/ror-updates/files/8333952/wikidata_correct_redirects.xlsx)

",
Projects,1128913944,476,https://github.com/ror-community/ror-updates/issues/476,open,level 2; update record; jaguar; project,2022-02-09 18:59:41,2022-02-09 19:01:08, Project: Standardize representation of records for the Ukraine's National Academy of Sciences,"Records for organizations that are part of Ukraine's National Academy of Sciences should follow a standard pattern of representation. Currently, they use various forms. We should update these records to follow a single, consistent pattern. 

Current NAS records in ROR: https://ror.org/00je4t102 ; https://ror.org/05x75zf33 ; https://ror.org/059fvd392 ; https://ror.org/03dez2856 ; https://ror.org/05s41xv68 ; https://ror.org/01669gb09 ; https://ror.org/019qyzj84 ; https://ror.org/00ajw8c12
","adambuttrick
02/09/2022, 19:01:07 | 02/09/2022, 19:01:07
comment_text: ROR ID that will be assigned to #475 should be included in the above.

---
"
Projects,1128927095,477,https://github.com/ror-community/ror-updates/issues/477,open,level 1; new record; lion; project,2022-02-09 19:14:31,2022-02-09 19:35:20,Project: Complete representation of Ukraine's National Academy of Sciences Institutions,"Representation in ROR for Ukraine's National Academy of Science is incomplete. We should pursue a more full accounting of these organizations and represent them in ROR accordingly. A consistent name format is also required, as described in #476.

Starting points for analysis:

- Institutions of the National Academy of Sciences of Ukraine: https://uk.wikipedia.org/wiki/Установи_НАН_України",
Projects,959505390,232,https://github.com/ror-community/ror-updates/issues/232,open,project,2021-08-03 21:02:27,2022-05-04 18:23:06,Project: Clusters of Excellence,"Group of organizations/records: Clusters of Excellence (see #200)

Review: 
- Coverage in ROR and what else needs to be added
- Naming conventions
- Relationships",
Projects,1131277945,482,https://github.com/ror-community/ror-updates/issues/482,open,project,2022-02-10 23:57:07,2022-02-10 23:58:50,Project: Consistent representation of all CNRS records,"Creating this stub issue here as a placeholder for future analysis/clean-up work for CNRS and CNRS-related records. 

To analyze and make consistent:
Naming conventions
Relationships

To review:
Scope - make sure we are capturing units at the right level",
Projects,1150759681,510,https://github.com/ror-community/ror-updates/issues/510,open,lion; project,2022-02-25 19:03:39,2022-02-25 19:03:39,Project: International Long Term Ecological Research Network,"We should pursue better representation of all members of the International Long Term Ecological Research Network. The ILTER is comprised of three groups and then various global sites (ILTER East Asia Pacific, LTER Europe, US LTER, global sites). Each may require a separate project, as there are numerous research stations within each at the national level. US LTER member have already been submitted in #442. Keeping at this high-level now for further review and analysis.

https://www.ilter.network/",
Projects,1166589081,542,https://github.com/ror-community/ror-updates/issues/542,open,project; relationship,2022-03-11 16:00:25,2022-03-11 16:00:43,Project: Identify proper relationships for ELIXIR,"ELIXIR (Issue #541) has many related organizations, divided between ""lead institutes"" and ""node institutes ""(see here: https://elixir-europe.org/about-us/who-we-are/nodes). We should identify what constitutes the proper relationship between all of these orgs.",
Projects,1240428510,696,https://github.com/ror-community/ror-updates/issues/696,open,level 1; new record; lion; project,2022-05-18 19:33:30,2022-05-18 19:33:51,Project: Kavli Institutes,"In #600, @arthurpsmith identified the need to represent all of the Kavli institutes in ROR. We should examine affiliation usage for the missing institutes and determine whether they should be included. Below is the current list of institutes represented in the registry:

Kavli Foundation - https://ror.org/00kztt736 (parent to all)
Kavli Institute for the Physics and Mathematics of the Universe - https://ror.org/02chw6z69
Kavli Institute for Particle Astrophysics and Cosmology - https://ror.org/00pwqz914
Kavli Institute for Theoretical Sciences - https://ror.org/01kv3wg35
Kavli Energy NanoScience Institute - https://ror.org/03c0kvc14",
Projects,1250917477,718,https://github.com/ror-community/ror-updates/issues/718,open,level 2; update record; lion; project,2022-05-27 15:53:27,2022-05-27 16:22:37,Project: Analyze and standardize common/generic entity names and optimize for discoverability,"ROR records include numerous entries for common types of entities with generic institutional names, e.g.:

Ministry of ______  
Division of _____
Department of ______
Office of ______
etc.

Where ______ could be Health/Finance/Agriculture/Education etc. 

Examples:
Ministry of Agriculture (https://ror.org/026h6vx82, https://ror.org/004gem776, https://ror.org/044d6nj38, and others)
Division of Chemistry (https://ror.org/01ar8dr59)
Department of Health (https://ror.org/030jqbn26, https://ror.org/025yj9w07, https://ror.org/05rfgws98, and others)
Office of Governor (https://ror.org/01ka62b75)

These commonalities hinder discoverability. We should consider undertaking a project to identify a set of common words in these kinds of names, find all of the records where these names are used, and analyze how the records' metadata might be improved to better reflect the organizations in question and to optimize discoverability. 

This should also be considered by the curation board to make sure practices are consistent with name and affiliation usage. For example, discoverability would be optimized by appending or pre-pending the location name (e.g., South Africa Department of Health), but such a modification may not reflect actual usage of the name. 

We also need to analyze the impact of adding location names on API queries and compare results between the ?query and ?affiliation functions",
Projects,1251236433,720,https://github.com/ror-community/ror-updates/issues/720,open,project,2022-05-27 20:23:50,2022-05-27 20:23:50,Project: Label Analysis,"[A paper](https://doi.org/10.7554/eLife.58496) discussing the ability of our affiliation route to reconcile non-English names to their corresponding records suggests we should do analysis of our labels for completeness and quality. Specifically, we should examine the completeness of label coverage for records in countries where English is not a primary language, as well as how accurately existing labels match their native language names.",
