column_name,issue_id,issue_number,url,state,labels,created_at,updated_at,title,body,comments
Ready for production release,1179816554,575,https://github.com/ror-community/ror-updates/issues/575,open,level 2; update record; lion; project,2022-03-24 17:27:24,2022-04-12 00:11:51,Project: Update Records Identified by the FRDR,"The Federated Research Data Repository (FRDR) team has identified ~50 records requiring updates. The needed changes are described in the spreadsheet linked below:

https://docs.google.com/spreadsheets/d/1-Uxmqm9EZL33Q-hKZ2u0TyVahU56zWjE76o1oR-760o/edit#gid=0","adambuttrick
04/12/2022, 00:11:38 | 04/12/2022, 00:11:51
comment_text: Reviewed with comments and updates coding in the attached.
[FRDR - Updated Organizations for ROR_AB_review.xlsx](https://github.com/ror-community/ror-updates/files/8468519/FRDR.-.Updated.Organizations.for.ROR_AB_review.xlsx)

---
"
Ready for production release,1207306880,640,https://github.com/ror-community/ror-updates/issues/640,open,level 2; update record; lion; project,2022-04-18 18:18:02,2022-04-18 19:53:17,Project: Updates from Wikidata reconciliation,"As part of his 04/2022 reconciliation of ROR with Wikidata, @arthurpsmith has identified several ROR IDs that should be updated to reflect changes to Wikidata IDs and other values. These are described in the attached
[ror_wikidata_fixes_2022_03_AB_reviewed.xlsx](https://github.com/ror-community/ror-updates/files/8507317/ror_wikidata_fixes_2022_03_AB_reviewed.xlsx)
.",
Ready for production release,1178242576,567,https://github.com/ror-community/ror-updates/issues/567,open,level 2; update record; lion; project,2022-03-23 14:58:52,2022-03-23 16:07:11,Project: Correct Errors in Wikidata ID Field introduced in the 09-23-21 Mapping,"GRID data from the September 2021 release contained errors in the Wikidata ID field where values from other fields were mapped to these entries. These records should all be corrected, with the transposition errors fixed as well (e.g. moving an ISNI to the ISNI field where it has been placed in the Wikidata ID field)
[20210923_wikidata_ID_errors.xlsx](https://github.com/ror-community/ror-updates/files/8334068/20210923_wikidata_ID_errors.xlsx)
.",
Ready for production release,1094628327,416,https://github.com/ror-community/ror-updates/issues/416,open,level 1; new record; jaguar; org-requested,2022-01-05 18:22:48,2022-04-07 03:16:07,"Add a new organization to ROR: 
 
Institute for Social and Political Psychology","Summary of request: Add a new organization to ROR

Name of organization: Institute of Social and Political Psychology
Website: https://ispp.org.ua/
Link to publications: https://doi.org/10.33120
Organization type: Education (A university or similar institution involved in providing education and educating/employing researchers)
Wikipedia page: https://uk.wikipedia.org/wiki/Інститут_соціальної_та_політичної_психології_НАПН_України
Wikidata ID: Q15088248
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Other names for the organization: Institute for Social and Political Psychology of the National Academy of Educational Sciences of Ukraine 
Acronym/abbreviation: ISPP NAES
Aliases: ISPP NAES of Ukraine
Labels: Інститут соціальної та політичної психології НАПН України*Ukrainian
Related organizations: https://ror.org/05h1pdj54 (parent)
City: Kyiv
Country: Ukraine
Geonames ID: 703448
Year established: 1994
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge research funders, To acknowledge a research facility, To be integrated in a scholarly publishing system
Other information about this request: ","adambuttrick
01/28/2022, 01:04:16 | 01/28/2022, 01:04:41
comment_text: Research institute under the National Academy of Educational Sciences of Ukraine. Primary name form corresponds to that on the English version of their site.

Publication affiliation usage: https://lib.iitta.gov.ua/725841/1/%D0%B7%D0%B1%202020%20-%D1%81%D1%82%20%D0%93%D1%80%D0%B8%D1%86%D0%B5%D0%BD%D0%BE%D0%BA-%D0%AE%D1%80%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_removed.pdf

Google Scholar affiliation usage: https://scholar.google.com/citations?hl=en&user=kbPyXRcAAAAJ&view_op=list_works&sortby=pubdate

ORCID Affiliation Usage: https://orcid.org/0000-0003-4378-9841 ; https://orcid.org/0000-0001-6141-9786 ; https://orcid.org/0000-0002-0055-2185

---
nlundvick
03/12/2022, 16:45:35 | 03/12/2022, 16:45:35
comment_text: In scope with multiple instances of affiliation use found at Google Scholar, add to ROR. Edited primary name from ""Institute for Social and Political Psychology"" to ""Institute of Social and Political Psychology"" to match the name listed in English version of the organization's website (using website's language dropdown option). @adambuttrick - Less clear on how to handle the label. I think it should be changed to ""Інститут соціальної та політичної психології"" with the ""НАПН України"" removed as that portion translates to ""of the National Academy of Educational Sciences of Ukraine"".

---
"
Ready for production release,1160589520,524,https://github.com/ror-community/ror-updates/issues/524,open,level 1; new record; jaguar,2022-03-06 11:47:26,2022-04-07 02:57:30,"Add a new organization to ROR: 
 
Institute for Geometry and Physics","Summary of request: Add a new organization to ROR

Name of organization: Institute for Geometry and Physics
Website: https://www.igap-ts.it
Link to publications: -- 
Organization type: Education (A university or similar institution involved in providing education and educating/employing researchers)
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Aliases: 
Labels:
Acronym/abbreviation: IGaP-TS; IGaP
Related organizations: https://ror.org/004fze387 (parent) https://ror.org/009gyvm78 (parent)
City: Trieste
Country: Italy
Geonames ID: 3165185
Year established: 2018
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge research funders, To acknowledge a research facility

Other information about this request: IGaP is a recent joint institute shared by SISSA and ICTP in Trieste - Italy. We need to get the status of recognized affiliation in publications records, like INSPIRE-HEP or arXiv to increase the visibility of the institute and accounting to promote us while asking future funding.","adambuttrick
03/08/2022, 19:10:25 | 03/08/2022, 19:13:20
comment_text: Relatively new, joint institute between  https://ror.org/004fze387 and  https://ror.org/009gyvm78, intended to bridge research between the domains of mathematics and physics. Conducts seminars. Used as part of a compound affiliation usage. Seems in scope, if somewhat small. Principals are all well-credentialed in their respective fields (https://www.igap-ts.it/members/).

Publication affiliation usage: https://link.springer.com/article/10.1007/s40879-021-00461-0 ; https://link.springer.com/article/10.1007/s40863-020-00199-9 ; https://arxiv.org/pdf/2112.09698.pdf ; https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.126.231602

---
nlundvick
03/12/2022, 16:51:20 | 03/12/2022, 16:51:20
comment_text: Concur - In scope with scholarly affiliation use. Add to ROR.

---
"
Ready for production release,1094628353,418,https://github.com/ror-community/ror-updates/issues/418,open,level 1; new record; jaguar; org-requested,2022-01-05 18:22:50,2022-03-15 19:39:33,"Add a new organization to ROR: 
 
SPL L'Eau des Collines","Summary of request: Add a new organization to ROR

Name of organization: SPL L'Eau des Collines
Website: http://www.eaudescollines.fr/
Link to publications: http://www.eaudescollines.fr/publications-spl-eau-des-collines/partage-de-nos-connaissances/
Organization type: Company (A private for-profit corporate entity involved in conducting or sponsoring research)
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Other names for the organization: L'Eau des Collines
Aliases: L'Eau des Collines
Acronym/abbreviation: SPL EDC
Related organizations: 
City: Aubagne
Country: France
Geonames ID: 3036433
Year established: 2012
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge research funders, To acknowledge a research facility, To be integrated in a scholarly publishing system
Other information about this request: SPL L'Eau des Collines was driving field work and was providing data for supporting academic research work in the fied of the subsurface hydrology. Recent publication in international peer-reviewed journal aknowledged our contribution as data provider  https://link.springer.com/article/10.1007%2Fs10040-021-02426-9#Ack1 . The present request to be indexed in ROR.org is for supporting open-access of all our scientific data and  reports  with a systematic registration of our numeric ressources in Datacite (each of our data will be indexed with a DOI through OPIDOR service provided by CNRS). We need to be recorded in ROR.org in order to be able to affiliate our DOIs ressources. ","adambuttrick
01/28/2022, 00:47:56 | 01/28/2022, 00:52:16
comment_text: Public water company in charge of water management and related services in the Pays d'Aubagne et de l'Étoile territory of France. Provides datasets and produces reports on the related to the resources under their charge (e.g., https://doi.org/10.48799). I can't find them yet on Datacite, so I believe the request for a ROR ID may be part of their move to the platform.

Not certain whether to use the form provided for the primary name. Mailing address on their site simply list ""L’eau des collines."" I believe SPL is an abbreviation for ""Société publique locale du pays d'Aubagne et de l'Etoile.""

Similar records in ROR: https://ror.org/03v275937 ; https://ror.org/01r7sqp31

---
arthurpsmith
03/15/2022, 19:39:13 | 03/15/2022, 19:39:13
comment_text: Ok, it's about 10 years old, and it does seem to be somewhat involved in research. Given that we've added a few similar organizations previously I think this is fine. While SPL is a type-of-organization abbreviation it appears to be a relatively limited and new one (the website mentions it's from a law dated May 2010) so I think it's ok in this case to leave it as part of the name as they requested.

---
"
Ready for production release,1117255546,451,https://github.com/ror-community/ror-updates/issues/451,open,level 1; new record; jaguar; relationship,2022-01-28 10:45:14,2022-04-07 03:13:10,"Add a new organization to ROR: 
 
University Museum Utrecht","Summary of request: Add a new organization to ROR

Name of organization: University Museum Utrecht
Website: https://umu.nl/
Link to publications: https://www.gbif.org/dataset/39b4ca7a-27f7-4489-8b49-c539144ccdc8
Organization type: Archive (An organization involved in stewarding research and cultural heritage materials. Includes libraries, museums, and zoos)
Wikipedia page: https://nl.wikipedia.org/wiki/Universiteitsmuseum_(Utrecht)
Wikidata ID: https://www.wikidata.org/wiki/Q14510918
ISNI ID: 0000 0001 2110 5571
GRID ID: 
Crossref Funder ID: 
Other names for the organization: Universiteitsmuseum Utrecht
Acronym/abbreviation: UMU
Labels: Universiteitsmuseum Utrecht*Dutch
Related organizations: Utrecht University https://ror.org/04pp8hn57 (parent)
City: Utrecht
Country: The Netherlands
Geonames ID: 2745911
Year established: 1928
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge a research facility, To be integrated in a scholarly publishing system
Other information about this request: ","adambuttrick
01/28/2022, 15:31:55 | 01/28/2022, 15:36:33
comment_text: Not a top-level entity, but its curatorial and conservation staff do produce research with this museum as their affiliation.

Publication affiliation usage:

https://peerj.com/articles/7675/#aff-6

http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.agro-e968e821-7eb8-4081-888a-df10ff94dd33/c/Re-evaluation_of_pachycormid.pdf

https://triggered.edina.clockss.org/ServeContent?url=http://www.gewina-studium.nl%2Farticles%2F10.18352%2Fstudium.10121%2Fprint%2F

Google Scholar affiliation usage: https://scholar.google.com/citations?hl=en&user=KQlvSeQAAAAJ

Similar records in ROR: https://ror.org/03rs7bk48 ; https://ror.org/02n094r49

---
nielsraes
02/07/2022, 11:26:04 | 02/07/2022, 11:26:04
comment_text: _How will a ROR ID for this organization be used?_ UMU is one of the [DiSSCo-NL partners](https://www.dissco.eu/nl/) that wants to mobilize their geological data to both GBIF and [GeoCASe](https://www.dissco.eu/nl/). At the level of DiSSCo ROR IDs are identified as institutional IDs, hence the request.

---
arthurpsmith
03/15/2022, 19:43:20 | 03/15/2022, 19:43:20
comment_text: They also have an ISNI id, I added that. Given our policy on ""Museum that is part of a university"" cases and the details that Adam has surfaced, this should have a ROR id. 

---
"
Ready for production release,1119261920,458,https://github.com/ror-community/ror-updates/issues/458,open,level 1; new record; jaguar,2022-01-31 10:45:09,2022-04-19 00:41:35,"Add a new organization to ROR: 
 
MAIN CENTER OF SPECIAL MONITORING","Summary of request: Add a new organization to ROR

Name of organization: Main Center of Special Monitoring
Website: https://gcsk.gov.ua/
Link to publications: https://doi.org/10.7914/SN/UD
Organization type: Facility (A specialized facility where research takes place, such as a laboratory or telescope or dedicated research area)
Wikipedia page: https://uk.wikipedia.org/wiki/Головний_центр_спеціального_контролю_ДКАУ
Wikidata ID: Q12096588
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Other names for the organization:
Aliases:
Labels: Головний центр спеціального контролю*Ukrainian
Acronym/abbreviation: MCSM, ГЦСК
Related organizations: https://ror.org/04ev01y75 (parent)
City: Gorodok
Country: Ukraine
Geonames ID: 708314
Year established: 1958
How will a ROR ID for this organization be used? To identify affiliations for datasets, To acknowledge a research facility
Other information about this request: ","adambuttrick
01/31/2022, 15:26:13 | 01/31/2022, 15:26:13
comment_text: Seismic and radiation monitoring facility that exists as part of Ukraine's state space agency. Primary affiliation for its staff. Seems in scope relative to similar ROR records (e.g. https://ror.org/03vhnve41 ; https://ror.org/0146tv827)

Publication affiliation usage: https://www.researchgate.net/publication/320929835_Mozlivist_vikoristanna_danih_infrazvukovogo_monitoringu_pid_cas_identifikacii_prirodi_sejsmicnih_podij; http://dspace.nbuv.gov.ua/bitstream/handle/123456789/125183/11-Andrushchenko.pdf?sequence=1 ; 

ORCID affiliation usage: https://orcid.org/0000-0002-1009-5256

---
arthurpsmith
03/15/2022, 19:54:42 | 03/15/2022, 19:54:42
comment_text: I added the Wikidata ID, can't find it in ISNI though. Their website seems to be down right now, perhaps not surprising. Copies in archive.org from a few weeks ago look fine though. As a government facility that provides research data this definitely should qualify for ROR.

---
"
Ready for production release,1124218702,468,https://github.com/ror-community/ror-updates/issues/468,open,level 1; new record; jaguar,2022-02-04 13:42:50,2022-04-07 03:13:39,"Add a new organization to ROR: 
 
Deutsches Zentrum für Integration- und Migrationsforschung","Summary of request: Add a new organization to ROR

Name of organization: German Center for Integration and Migration Research 
Website: https://www.dezim-institut.de/
Link to publications: https://onlinelibrary.wiley.com/doi/full/10.1002/per.2228  https://www.dezim-institut.de/fileadmin/Publikationen/Research_Notes/DeZIM_Research_Notes_05_210323_3_RZ_web.pdf
Organization type: Government (An organization that is part of or operated by a national or regional government and that conducts or supports research)
Wikipedia page: https://de.wikipedia.org/wiki/Deutsches_Zentrum_f%C3%BCr_Integrations-_und_Migrationsforschung
Wikidata ID: Q110812948
ISNI ID: 0000 0004 8156 6283
GRID ID: 
Crossref Funder ID: 
Aliases:
Labels: Deutsches Zentrum für Integrations- und Migrationsforschung*German
Acronym/abbreviation: DeZIM
Related organizations: Bundesministerium für Familie, Senioren, Frauen und Jugend https://ror.org/056ja1h98 (parent)
City: Berlin
Country: Germany
Geonames ID: 2950159
Year established: 2017
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge research funders, To be integrated in a scholarly publishing system
Other information about this request: ","adambuttrick
02/04/2022, 17:10:55 | 02/04/2022, 17:12:12
comment_text: German government organization focused on research related to migration issues. Independently publishes research reports on these topics and is used an affiliation on similar publications in other forums. Looks solid and appropriate for ROR.

Google Scholar affiliation usage: https://scholar.google.com/citations?user=BhjnhlAAAAAJ
ORCID affiliation usage: https://orcid.org/0000-0003-2102-2527 ; https://orcid.org/0000-0002-7182-1792 ; https://orcid.org/0000-0001-7147-1609

Similar records in ROR: https://ror.org/01dxs6p42 ; https://ror.org/00hj7mt57

---
arthurpsmith
03/16/2022, 14:01:24 | 03/16/2022, 14:01:24
comment_text: Yes, this research institute looks like it meets the criteria for having a ROR id. Unfortunately the German wikipedia page and the wikidata item were deleted for lack of supporting info - I've asked for undeletion on Wikidata; I'll update here if something changes. Anyway, otherwise it should proceed.

---
arthurpsmith
03/16/2022, 17:43:37 | 03/16/2022, 17:43:37
comment_text: Wikidata ID has been restored.

---
"
Ready for production release,1124840446,471,https://github.com/ror-community/ror-updates/issues/471,open,level 1; new record; jaguar; org-requested,2022-02-05 05:28:29,2022-04-07 03:16:41,"Add a new organization to ROR: 
 
Instituto Peruano de Orientación Psicológica","Summary of request: Add a new organization to ROR

Name of organization: Instituto Peruano de Orientación Psicológica - IPOPS
Website: https://ipops.pe/
Link to publications: https://doi.org/10.1186/s12888-021-03456-z; https://doi.org/10.3389/fpsyg.2021.673945; https://doi.org/10.12688/f1000research.27150.2; http://dx.doi.org/10.1136/bmjopen-2020-036777
Organization type: Education (A university or similar institution involved in providing education and educating/employing researchers)
Wikipedia page:
Wikidata ID: https://www.wikidata.org/wiki/Q52662516
ISNI ID: https://isni.org/isni/0000000495136890
GRID ID: 
Crossref Funder ID: 
Aliases:
Labels:
Acronym/abbreviation: IPOPS
Related organizations: 
City: Lima
Country: Peru
Year established: 1986
Geonames ID: 3936456
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge research funders, To acknowledge a research facility, To be integrated in a scholarly publishing system
Other information about this request: ","adambuttrick
02/07/2022, 17:54:40 | 02/07/2022, 17:59:13
comment_text: Private institution focused on research in psychology and psychological treatment. Publishes the scientific journal, ""Interacciones: Revista de Avances en Psicologia"" (https://revistainteracciones.com/). Conducts training, seminars, and organizes conferences. Publication affiliation usage looks solid.

Google Scholar affiliation usage: https://scholar.google.com/citations?user=UhIQliwAAAAJ; https://scholar.google.com/citations?user=Vjdy9pQAAAAJ; https://scholar.google.com/citations?user=QHRUnMQAAAAJ
ORCID affiliation usage: https://orcid.org/0000-0003-0972-4534 ; https://orcid.org/0000-0002-7345-878X ; https://orcid.org/0000-0003-4989-4538 ; https://orcid.org/0000-0001-9267-1618 ; https://orcid.org/0000-0001-7333-6574 ;


Similar records in ROR: https://ror.org/056ezyb19 ; https://ror.org/0165gz615

---
arthurpsmith
03/16/2022, 14:08:59 | 03/16/2022, 14:08:59
comment_text: Looks good to me, my only thought was it might be something we already have but I can't find it so I think good to go!

---
"
