column_name,issue_id,issue_number,url,state,labels,created_at,updated_at,title,body,comments
Ready for sign-off - metadata QA,1319813162,914,https://github.com/ror-community/ror-updates/issues/914,open,level 1; new record; jaguar,2022-07-27 16:31:44,2022-07-29 20:04:00,"Add a new organization to ROR: 
 
Weill Cornell Medical College","Summary of request: Add a new organization to ROR

Name of organization: Weill Cornell Medicine
Website: https://weill.cornell.edu
Link to publications: https://doi.org/10.1084/jem.20212142
Organization type: Education (A university or similar institution involved in providing education and educating/employing researchers)
Wikipedia page: https://en.wikipedia.org/wiki/Weill_Cornell_Medicine
Wikidata ID: Q3567094
ISNI ID: 0000 0001 2179 7643
GRID ID: grid.471410.7
Crossref Funder ID: 100007273
Aliases:
Labels:
Acronym/abbreviation: WCM
Related organizations: https://ror.org/05bnh6r87 (parent)
City: New York
Country: United States
Geonames ID: 5128581
Year established: 1989
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge a research facility

Other information about this request: I know this is a part of Cornell, but it is in a different location and researchers and physicians at the school commonly us Weill Cornell Medical College or Weill Cornell College of Medicine on its own. Please consider. ","adambuttrick
07/27/2022, 16:45:32 | 07/27/2022, 17:51:34
comment_text: Original request was for Weill Cornell Medical College, a sub-entity of both Weill Cornell Medicine and Cornell itself. I believe the appropriate record here would be for Weill Cornell Medicine, which includes both the hospital and its medical college. Conversely, we have the precedent of [Weill Cornell Medical College in Qatar](https://ror.org/05v5hg569), which would indicate that the NYC college is also in scope. Would like to hear others thoughts. Weill Cornell Medicine previously existed as grid.471410.7/https://ror.org/02r109517, before it was removed by GRID when we were synced with their data. If added, we would reinstate with these IDs.

While its domain is under the Cornell umbrella, Weill Cornell Medicine is located separate from the main campus and exists in partnership with other NYC area hospitals. Funds and employs researchers and has solid affiliation usage, so would otherwise be in scope.


Weill Cornell Medicine:
Google Scholar affiliation usage: https://scholar.google.com/citations?user=PVdueKUAAAAJ; https://scholar.google.com/citations?user=U00rTdwAAAAJ; https://scholar.google.com/citations?user=tkWeNkoAAAAJ

ORCID affiliation usage: https://orcid.org/0000-0002-3174-311X ; https://orcid.org/0000-0001-7601-663X ; https://orcid.org/0000-0002-3966-0247

Weill Cornell Medicine Medical College:

Google Scholar affiliation usage: https://scholar.google.com/citations?user=g0s8hgEAAAAJ; https://scholar.google.com/citations?user=-KMNTS8AAAAJ; https://scholar.google.com/citations?user=fSQtj3oAAAAJ

ORCID affiliation usage: https://orcid.org/0000-0002-8477-4366 ; https://orcid.org/0000-0002-4224-560X ; https://orcid.org/0000-0003-1242-8824

---
arthurpsmith
07/29/2022, 15:35:44 | 07/29/2022, 15:35:44
comment_text: Ooh, absolutely we should have this, a major medical research facility. I guess this was part of GRID's purge of medical schools but it really is very separate from the main university. Also, we have several Cornell ""colleges"" that are colocated in Ithaca as full ROR records (see child organizations on the main Cornell record https://ror.org/05bnh6r87, I guess due to a dual role as a state agricultural university in addition to being a major private liberal arts university. An another note I wonder if we should also have an additional ROR record for Cornell Tech - https://tech.cornell.edu - or maybe just for the ""Jacobs Technion-Cornell Institute"" which is a joint institute there with Technion (Israel) as the other parent. See Wikidata record Q5171546 for more on Cornell Tech. Anyway Weill Cornell Medicine should definitely be in ROR. Restoring the old ID would be fine with me.

---
adambuttrick
07/29/2022, 15:42:41 | 07/29/2022, 15:42:41
comment_text: @arthurpsmith How do you feel about the Weill Cornell Medicine Medical College having its own, additional record in that context? Affiliation usage seems that specific in many cases, but it doesn't seem really to be a top-level entity, even if for whatever reason GRID didn't purge the equivalent record in Qatar.

---
arthurpsmith
07/29/2022, 18:59:32 | 07/29/2022, 18:59:32
comment_text: I think we're pretty inconsistent right now with medical schools vs their associated medical facilities/hospitals; I'm not remembering if we had any specific policy on this. I'd keep them combined for now pending any consistent rule on medical schools.

---
odonner1
07/29/2022, 19:31:13 | 07/29/2022, 19:31:13
comment_text: As the requester for this one, I want to add a comment. In general. I've been noticing that researchers have trouble with ROR when they are affiliated with a medical school. They have always specified ""medical college"" or ""school of medicine"" and when completing forms during submission, they do the same, using the med school name. We currently allow authors to enter names they wish for their address information, even if autocomplete does not find an entry in ROR. That's becoming a problem for us, and we are going to start requiring a ROR institution. This is surely going to cause issues for authors who insist on using the med school name. I think it would be helpful for medical schools to have distinct but related RORs.

---
adambuttrick
07/29/2022, 19:56:56 | 07/29/2022, 20:01:04
comment_text: @odonner1 Thank you for that additional context. We will take it under advisement in how we address medical schools moving forward.

More generally, we advise against requiring ROR IDs in integrations. There will always be organizations that are out of scope for ROR, but are otherwise appropriate as affiliations. Likewise, we are not always able to add records for organizations at the same pace with which they are being used in various scholarly publishing systems, even if those organizations are in scope for the registry.

---
odonner1
07/29/2022, 20:03:59 | 07/29/2022, 20:03:59
comment_text: Understood, and we can talk more offline about how we plan to require, there will be an out. However, ROR is driving our R&P deal eligibility checks as well as our Open Access Switchboard workflow, so it's a real problem when an organization does not have a ROR, or the searchable name differs enough from the ROR entry that authors cannot find the entry, and get frustrated, as with many med schools. 

---
"
Ready for sign-off - metadata QA,1318853525,913,https://github.com/ror-community/ror-updates/issues/913,open,level 1; new record; jaguar,2022-07-26 23:36:29,2022-07-29 19:32:30,"Add a new organization to ROR: 
 
Instituto de Biodiversidad y Biologia Experimental y Aplicada (UBA-CONICET)","Summary of request: Add a new organization to ROR


Add record:
Name of organization: Instituto de Biodiversidad y Biologia Experimental y Aplicada
Website: https://ibbea.fcen.uba.ar
Link to publications: https://doi.org/10.1016/j.carbpol.2021.118293
Organization type: Government (An organization that is part of or operated by a national or regional government and that conducts or supports research)
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Aliases: 
Labels: Institute of Biodiversity and Applied and Experimental Biology*English
Acronym/abbreviation: IBBEA; IBBEA UBA-CONICET
Related organizations: https://ror.org/03cqe8w59 (parent) https://ror.org/0081fs513 (parent)
https://ror.org/0081fs513
City: Buenos Aires
Country: Argentina
Geonames ID: 3435910
Year established: 
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge a research facility

Other information about this request: The Acalconecta (acalconecta.org) team is making efforts to showcase scientists in Latin America and the Caribbean.  The RoR database of institutions is used as viable affiliation information for those researchers. We have encountered institutions that do not appear in the RoR database but researchers use as their current affiliation in their research products. ","adambuttrick
07/27/2022, 00:33:29 | 07/27/2022, 00:33:29
comment_text: Housed at the University of Buenos Aires, but is a joint research institute created by https://ror.org/03cqe8w59 and https://ror.org/0081fs513. Solid affiliation usage. Funds and employs researchers. In scope by virtue of the other UBA-CONICET institutes having being added to ROR (e.g. https://ror.org/03rq94151 and https://ror.org/01m444286).

---
nlundvick
07/29/2022, 19:32:18 | 07/29/2022, 19:32:18
comment_text: Established organization that is sufficiently independent from parent organizations. Multiple instances of affiliation use (https://www.sciencedirect.com/science/article/pii/S0045653517320179; https://onlinelibrary.wiley.com/doi/epdf/10.1111/fog.12543; etc.). Concur with previous curator - add to ROR for these reasons, and in line with other UBA-CONICET institutes that have been assigned a ROR ID

---
"
Ready for sign-off - metadata QA,1320191785,916,https://github.com/ror-community/ror-updates/issues/916,open,level 1; new record; jaguar,2022-07-27 22:35:54,2022-07-29 19:59:23,"Add a new organization to ROR: 
 
Universidad Tecnológica de Tamaulipas Norte","Summary of request: Add a new organization to ROR

Name of organization: Universidad Tecnológica de Tamaulipas Norte
Website: http://www.uttn.edu.mx
Link to publications: 10.3390/su14084593
Organization type: Education (A university or similar institution involved in providing education and educating/employing researchers)
Wikipedia page:
Wikidata ID: 
ISNI ID: 0000 0004 1770 7096
GRID ID: 
Crossref Funder ID: 
Aliases: 
Labels: Technological University of North Tamaulipas*English
Acronym/abbreviation: UTT; UTTN
Related organizations: 
City: Reynosa
Country: México
Geonames ID: 3520339
Year established: 1999
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets

Other information about this request: ","adambuttrick
07/28/2022, 16:20:26 | 07/28/2022, 16:21:03
comment_text: Midsize Mexican university with a focus on technical training. Independent, top-level entity with solid affiliation usage. Should be added to ROR.

Publication affiliation usage: https://revista.grupocieg.org/wp-content/uploads/2022/02/Ed.54106-114-Fuentes-et-al.pdf ; https://www.mdpi.com/2071-1050/14/8/4593

Google Scholar affiliation usage: https://scholar.google.com/citations?user=rRleva0AAAAJ; https://scholar.google.com/citations?user=6h5bnF4AAAAJ

ORCID affiliation usage: https://orcid.org/0000-0001-5840-8234 ; https://orcid.org/0000-0002-3242-8998 ; https://orcid.org/0000-0002-1328-8280

---
nlundvick
07/29/2022, 19:47:37 | 07/29/2022, 19:47:37
comment_text: Established top-level organization associated with scholarly publications. In scope - add to ROR.

@adambuttrick - The Wikipedia link provided by the requestor is for a different university. I am not finding a Wikipedia page for this organization. Let me know if you would like me to update the issue or if this will be addressed in Metadata QA.

---
adambuttrick
07/29/2022, 19:59:23 | 07/29/2022, 19:59:23
comment_text: @nlundvick Thank you for catching. I've updated and removed.

---
"
Ready for sign-off - metadata QA,1328485201,946,https://github.com/ror-community/ror-updates/issues/946,open,level 1; new record; jaguar,2022-08-04 11:33:15,2022-08-04 16:58:02,"Add a new organization to ROR: 
 
UK EPC LTD ","Summary of request: Add a new organization to ROR

Add record:
Name of organization: UK EPC
Website: https://www.ukepc.uk/
Link to publications: 10.29198/scieu  | 10.29198/ejs | 10.29198/ejss
Organization type: Company (A private for-profit corporate entity involved in conducting or sponsoring research)
Wikipedia page: 
Wikidata ID: Q110894495
ISNI ID: 0000 0005 0715 1554
GRID ID: 
Crossref Funder ID: 
Aliases: UKEPC 
Labels:
Acronym/abbreviation:
Related organizations: 
City: ALTON
Country: UNITED KINGDOM
Geonames ID: 2657408
Year established: 2017
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To be integrated in a scholarly publishing system

Other information about this request: ","adambuttrick
08/04/2022, 16:57:24 | 08/04/2022, 16:57:24
comment_text: Small British publisher of seven open access journals. No affiliation usages as far as I can tell, but in scope by virtue of their publishing activities. Should be added to ROR.

---
"
Ready for sign-off - metadata QA,1321465290,923,https://github.com/ror-community/ror-updates/issues/923,open,level 1; new record; jaguar,2022-07-28 20:42:05,2022-08-05 19:19:33,"Add a new organization to ROR: 
 
Instituto de Biologia Molecular e Celular","Summary of request: Add a new organization to ROR

Add record:
Name of organization: Instituto de Biologia Molecular e Celular
Website: https://www.ibmc.up.pt
Link to publications: 10.1083/jcb.202110057
Organization type: Education (A university or similar institution involved in providing education and educating/employing researchers)
Wikipedia page: https://en.wikipedia.org/wiki/Instituto_de_Biologia_Molecular_e_Celular
Wikidata ID: Q10302765
ISNI ID: 0000 0004 0620 9585
GRID ID: 
Crossref Funder ID: 
Aliases:
Labels: Institute for Molecular and Cell Biology*English
Acronym/abbreviation: IBMC
Related organizations: https://ror.org/043pwc612 (parent)
City: Porto
Country: Portugal
Geonames ID: 6458924
Year established: 1997
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge a research facility, To be integrated in a scholarly publishing system

Other information about this request: ","adambuttrick
07/28/2022, 21:13:17 | 07/28/2022, 21:13:17
comment_text: Multidisciplinary research institution in the fields of genetic diseases, infectious diseases and immunology, neuroscience, stress and structural biology. Housed at the University of Porto, but recognized and funded as independent research institute by Federal Portuguese bodies and participates in joint research efforts with related, outside orgs. Solid affiliation usage, although most is leading for University of Porto. Believe this should be added to ROR.

Publication affiliation usage: https://doi.org/10.1089/zeb.2022.0001; https://www.mdpi.com/2227-9059/10/2/224

Google Scholar affiliation usage: https://scholar.google.com/citations?user=g1567sgAAAAJ; https://scholar.google.com/citations?user=JU082csAAAAJ; https://scholar.google.com/citations?user=Q-GWZPcAAAAJ

ORCID affiliation usage: https://orcid.org/0000-0002-4770-9768 ; https://orcid.org/0000-0002-8358-6267 ; https://orcid.org/0000-0002-7529-9612

---
nlundvick
08/05/2022, 19:19:17 | 08/05/2022, 19:19:17
comment_text: Established and sufficiently independent organization associated with research publications ([164 publications found in Web of Science](https://www.webofscience.com/wos/woscc/summary/294f843a-9118-4346-a423-b1e65b5078b1-474f5af8/relevance/1)). Concur - add to ROR.

---
"
Ready for sign-off - metadata QA,1322250174,925,https://github.com/ror-community/ror-updates/issues/925,open,level 1; new record; jaguar,2022-07-29 13:24:32,2022-08-05 19:35:53,"Add a new organization to ROR: 
 
Genentech, Inc.","Summary of request: Add a new organization to ROR

Add record:
Name of organization: Genentech
Website: https://www.gene.com/
Link to publications: https://doi.org/10.1083/jcb.202111068
Organization type: Company (A private for-profit corporate entity involved in conducting or sponsoring research)
Wikipedia page: https://en.wikipedia.org/wiki/Genentech
Wikidata ID: Q899140
ISNI ID: 0000 0004 5899 3818
GRID ID: 
Crossref Funder ID: 100004328
Aliases:
Labels:
Acronym/abbreviation:
Related organizations: https://ror.org/011qkaj49 (parent)
City: San Francisco
Country: United States
Geonames ID:
Year established: 1976
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge research funders, To be integrated in a scholarly publishing system

Other information about this request: ","adambuttrick
07/29/2022, 16:58:30 | 07/29/2022, 16:58:30
comment_text: Biotechnology company and subsidiary of https://ror.org/011qkaj49. It looks as if GRID removed and redirected this record to https://ror.org/011qkaj49 sometime between 2016-17, before a ROR ID could've ever been assigned. That being said, they fund and employ numerous researchers and there is plenty of affiliation for just this company without any reference to Roche, so I think it makes sense to add it to ROR. 

Publication affiliation usage: https://assets.researchsquare.com/files/rs-1816977/v1_covered.pdf?c=1657727198 ; https://iovs.arvojournals.org/article.aspx?articleid=2783246

Google Scholar affiliation usage: https://scholar.google.com/citations?user=wZoOPVMAAAAJ; https://scholar.google.com/citations?user=9POE9sIAAAAJ; https://scholar.google.com/citations?user=0RAmmIAAAAAJ

ORCID affiliation usage: https://orcid.org/0000-0002-6675-5823 ; https://orcid.org/0000-0002-5260-6536 ; https://orcid.org/0000-0002-8044-1652

---
nlundvick
08/05/2022, 19:35:38 | 08/05/2022, 19:35:38
comment_text: Established, independent company associated with research and scholarly publications ([21,543 instances of affiliation use found in Web of Science](https://www.webofscience.com/wos/woscc/summary/6fc93895-3227-4db2-bd1b-719659a2e8e6-474f74c0/relevance/1)). Add to ROR.

---
"
Ready for sign-off - metadata QA,1341967256,989,https://github.com/ror-community/ror-updates/issues/989,open,level 1; new record; jaguar,2022-08-17 15:46:17,2022-08-17 16:18:59,"Modify the information in an existing ROR record: 
Universidad El Bosque  https://ror.org/04m9gzq43
","Summary of request: Modify the information in an existing ROR record

Update record:
Name of organization: Universidad El Bosque
ROR ID:  https://ror.org/04m9gzq43
Which part of the record needs to be changed? Primary name
Description of change: The actual primary name ""El Bosque University"" is not accepted by the University, must be ""Universidad El Bosque."" The actual website of the University is ""www.unbosque.edu.co"" few years ago we used ""www.uelbosque.com"" but is not avaliable anymore.

Update: change.name==Universidad El Bosque; add.aliases==El Bosque University; delete.labels==Universidad El Bosque; replace.links=https://www.unbosque.edu.co;$

","adambuttrick
08/17/2022, 16:16:37 | 08/17/2022, 16:18:59
comment_text: Spanish name as primary corresponds to university's website and branding. Keeping English name as alias as I see multiple instances of affiliation usage with this form (e.g. https://doi.org/10.1111/idh.12342). Current link in ROR does not resolve while the provided does.

---
"
Ready for sign-off - metadata QA,1341482212,988,https://github.com/ror-community/ror-updates/issues/988,open,level 1; new record; jaguar,2022-08-17 09:45:03,2022-08-18 13:14:02,"Add a new organization to ROR: 
 
Higher Institute of Engineering and Technology - King Marriott – Alexandria - Egypt","Summary of request: Add a new organization to ROR

Name of organization: Higher Institute of Engineering and Technology - King Marriott
Website: http://kma.edu.eg
Link to publications: www.kma.edu.eg
Organization type: Education (A university or similar institution involved in providing education and educating/employing researchers)
Wikipedia page: https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D9%87%D8%AF_%D8%A7%D9%84%D8%B9%D9%84%D9%8A%D8%A7_%D8%A8%D9%83%D9%8A%D9%86%D8%AC_%D9%85%D8%B1%D9%8A%D9%88%D8%B7
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Aliases:
Labels:
Acronym/abbreviation: KMA
Related organizations: 
City: Alexandria
Country: Egypt
Geonames ID: 361058
Year established: 2012
How will a ROR ID for this organization be used? To identify affiliations for research publications

Other information about this request: Thx .. C U","adambuttrick
08/17/2022, 15:59:25 | 08/17/2022, 19:18:15
comment_text:  [Arabic Wikipedia entry,](https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D9%87%D8%AF_%D8%A7%D9%84%D8%B9%D9%84%D9%8A%D8%A7_%D8%A8%D9%83%D9%8A%D9%86%D8%AC_%D9%85%D8%B1%D9%8A%D9%88%D8%B7) describes as degree-granting institution registered with the Egyptian government. Affiliation usage looks solid. Should be added to ROR.

Publication affiliation usage: https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9530509 ; https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8716667 ; https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9326293 ; https://doi.org/10.21883/ftt.2021.10.51478.pss162; https://doi.org/10.4018/ijskd.297977; https://doi.org/10.1063/1.5099923; https://doi.org/10.1080/1528008x.2022.2077889; https://doi.org/10.1177/1550147716662776

---
carlyrobinson
08/18/2022, 13:13:50 | 08/18/2022, 13:13:50
comment_text: With affiliation usage, agree with adding to ROR,

---
"
Ready for sign-off - metadata QA,1339711478,984,https://github.com/ror-community/ror-updates/issues/984,open,level 1; new record; jaguar,2022-08-16 01:57:14,2022-08-18 13:23:56,"Add a new organization to ROR: 
 
STIE Kesuma Negara Blitar","Summary of request: Add a new organization to ROR

Name of organization: STIE Kesuma Negara Blitar
Website: https://www.stieken.ac.id
Link to publications: https://journal.stieken.ac.id
Organization type: Education (A university or similar institution involved in providing education and educating/employing researchers)
Wikipedia page: https://id.wikipedia.org/wiki/STIE_Kesuma_Negara_Blitar
Wikidata ID: Q14323224
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Aliases: Kesuma Negara School of Economics
Labels:
Acronym/abbreviation: STIEKEN
Related organizations: 
City: Blitar
Country: Indonesia
Geonames ID: 1648580
Year established: 1990
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge research funders, To acknowledge a research facility, To be integrated in a scholarly publishing system

Other information about this request: That's All","adambuttrick
08/16/2022, 16:42:05 | 08/16/2022, 16:48:09
comment_text: Private university in Indonesia. Independent, top-level entity with solid affiliation usage. Funds and employs researchers. Should be added to ROR.

Publication affiliation usage: https://eco-entrepreneur.trunojoyo.ac.id/infestasi/article/download/4246/2988 ; https://jamal.ub.ac.id/index.php/jamal/article/download/677/587

Google Scholar affiliation_usage: https://scholar.google.com/citations?user=RYrmthcAAAAJ; https://scholar.google.com/citations?user=Nw7Vqc8AAAAJ; https://scholar.google.com/citations?user=XANMxCYAAAAJ

ORCID affiliation usage: https://orcid.org/0000-0003-4129-4060 ; https://orcid.org/0000-0001-9293-5687

---
carlyrobinson
08/18/2022, 13:23:28 | 08/18/2022, 13:23:28
comment_text: Agree, should be added to ROR.

---
"
Ready for sign-off - metadata QA,1338349192,977,https://github.com/ror-community/ror-updates/issues/977,open,level 1; new record; jaguar,2022-08-14 21:05:43,2022-08-19 16:11:52,"Add a new organization to ROR: 
 
University of Garmian","Summary of request: Add a new organization to ROR

Name of organization: University of Garmian
Website: https://garmian.edu.krd
Link to publications: https://doi.org/10.1016/j.apenergy.2019.113993
Organization type: Education (A university or similar institution involved in providing education and educating/employing researchers)
Wikipedia page: https://ckb.wikipedia.org/wiki/%D8%B2%D8%A7%D9%86%DA%A9%DB%86%DB%8C_%DA%AF%DB%95%D8%B1%D9%85%DB%8C%D8%A7%D9%86
Wikidata ID: Q23214133
ISNI ID: 0000 0005 0233 0465
GRID ID: 
Crossref Funder ID: 
Aliases: Garmian University
Labels: زانکۆی گەرمیان*Kurdish
Acronym/abbreviation: UOG
Related organizations: 
City: Kalar
Country: Iraq
Geonames ID: 9166600
Year established: 2010
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge a research facility, To be integrated in a scholarly publishing system

Other information about this request: ","adambuttrick
08/15/2022, 15:54:38 | 08/15/2022, 15:59:56
comment_text: University in Iraq. Independent, top-level entity that funds and employs researchers. Solid affiliation usage. Should be added to ROR.

Publication affiliation usage: https://doi.org/10.1016/j.applthermaleng.2022.119133 ; https://doi.org/10.1155/2022/7398110 ; https://doi.org/10.3390/membranes10120389

Google Scholar affiliation usage: https://scholar.google.com/citations?user=C0DL55kAAAAJ; https://scholar.google.com/citations?user=SRPXgJoAAAAJ; https://scholar.google.com/citations?user=Rl-GYMEAAAAJ

ORCID affiliation usage: https://orcid.org/0000-0002-9404-5618 ; https://orcid.org/0000-0002-8991-732X ; https://orcid.org/0000-0002-8282-8957

---
carlyrobinson
08/18/2022, 13:26:44 | 08/18/2022, 13:26:44
comment_text: Agree, should be added to ROR

---
Muhsin-Aljaf
08/19/2022, 16:11:51 | 08/19/2022, 16:11:51
comment_text: Thank for your consideration and approval of our request from the university of Garmian.

---
"
