column_name,issue_id,issue_number,url,state,labels,created_at,updated_at,title,body,comments
Ready for sign-off ,1684734372,3121,https://github.com/ror-community/ror-updates/issues/3121,open,level 2; update record; jaguar,2023-04-26 10:19:58,2023-04-26 14:59:02,"Modify the information in an existing ROR record: 
French Research Institute for Exploitation of the Sea https://ror.org/044jxhp58
","Summary of request: Modify the information in an existing ROR record

Update record:
Name of organization: French Research Institute for Exploitation of the Sea
ROR ID: https://ror.org/044jxhp58
Which part of the record needs to be changed? Other names or name versions listed in the record, Organization website, Something else
Description of change: Use « Ifremer » instead of « IFREMER »
Update web site : www.ifremer.fr
Child organizations : remove ""Collecte Localisation Satellites (France)""

Update: change.name==Ifremer; add.labels==French Research Institute for Exploitation of the Sea*English; delete.acronyms==IFREMER; replace.links==https://www.ifremer.fr; delete.relationships==https://ror.org/00q7mnz48;$","ror-curator-bot
04/26/2023, 14:37:02 | 04/26/2023, 14:37:02
comment_text: Update: change.name==French Research Institute for Exploitation of the Sea replace.links==www.ifremer.fr;$

---
adambuttrick
04/26/2023, 14:56:52 | 04/26/2023, 14:58:56
comment_text: Name change corresponds to organization's website and branding. Link is correctly identified. Ifremer's stake in https://ror.org/00q7mnz48 was divested in 2020, so this is fine to remove.

---
"
Ready for sign-off ,1684797893,3122,https://github.com/ror-community/ror-updates/issues/3122,open,level 2; update record; jaguar,2023-04-26 11:03:54,2023-04-26 15:04:20,"Modify the information in an existing ROR record: 
de: Donau Universität Krems en: Danube University Krems https://ror.org/03ef4a036
","Summary of request: Modify the information in an existing ROR record

Update record:
Name of organization: de: Donau Universität Krems en: Danube University Krems
ROR ID: https://ror.org/03ef4a036
Which part of the record needs to be changed? Primary name
Description of change: The new Primary Names in german and english of our University de: Universität für Weiterbildung Krems en: University for Continuing Education Krems
Our Short title is now UWK

Update: change.name==Universität für Weiterbildung Krems; replace.labels==University for Continuing Education Krems*English; replace.acronyms==UWK; replace.aliases==Donau Universität Krems; add.aliases==Danube University Krems; replace.links==https://www.donau-uni.ac.at;$","ror-curator-bot
04/26/2023, 14:36:50 | 04/26/2023, 14:36:50
comment_text: Update: add.aliases==University for Continuing Education Krems replace.acronyms==UWK;$

---
adambuttrick
04/26/2023, 15:04:15 | 04/26/2023, 15:04:15
comment_text: Name change corresponds to organization's website and branding.

---
"
Ready for sign-off ,1684853309,3123,https://github.com/ror-community/ror-updates/issues/3123,open,level 2; update record; jaguar,2023-04-26 11:36:27,2023-04-26 15:11:00,"Modify the information in an existing ROR record: 
INFN Sezione di Milano Bicocca https://ror.org/03xejxm22
","Summary of request: Modify the information in an existing ROR record

Update record:
Name of organization: INFN Sezione di Milano Bicocca
ROR ID: https://ror.org/03xejxm22
Which part of the record needs to be changed? Something else
Description of change: INFN Sezione di Milano Bicocca in not a child of ""University of Milano-Bicocca"".
INFN Sezione di Milano Bicocca is a child only of National Institute for Nuclear Physics.
","adambuttrick
04/26/2023, 15:10:45 | 04/26/2023, 15:10:45
comment_text: From the [organization's site](https://www.mib.infn.it/main/pages/infnmib/la-sezione.php), https://ror.org/03xejxm22 would appear to have some relationship to https://ror.org/01ynf4891:

""The INFN office in Milano Bicocca, housed in the premises of the Physics Department G. Occhialini of the University of Milan Bicocca, has been active since January 2001, and officially became an INFN Section as of September 1, 2006.""

But the request correctly identifies that this is not a parent child. My thinking is we should change this to related, but it would be helpful if someone else could review.



---
"
Ready for sign-off ,1685014014,3124,https://github.com/ror-community/ror-updates/issues/3124,open,level 2; update record; jaguar,2023-04-26 13:16:17,2023-04-26 15:13:36,"Modify the information in an existing ROR record: 
Institut für Höhere Studien - Institute for Advanced Studies (IHS) https://ror.org/05ag62t55
","Summary of request: Modify the information in an existing ROR record

Update record:
Name of organization: Institut für Höhere Studien - Institute for Advanced Studies (IHS)
ROR ID: https://ror.org/05ag62t55
Which part of the record needs to be changed? Primary name
Description of change: Please add the acronym in brackets after the name: (IHS)


Update: change.name==Institut für Höhere Studien - Institute for Advanced Studies (IHS); add.aliases==Institut für Höhere Studien - Institute for Advanced Studies;$","adambuttrick
04/26/2023, 15:13:32 | 04/26/2023, 15:13:32
comment_text: Name change corresponds to organization's copyright statement. Moving form without the acronym appended to aliases for better matching.

---
"
Ready for sign-off ,1685145427,3125,https://github.com/ror-community/ror-updates/issues/3125,open,level 2; update record; jaguar,2023-04-26 14:27:40,2023-04-26 15:16:09,"Modify the information in an existing ROR record: Consejería de Educación, Juventud y Deporte https://ror.org/038tahs86","Summary of request: Modify the information in an existing ROR record

Name of organization: Consejería de Educación, Juventud y Deporte
ROR ID: https://ror.org/038tahs86
Which part of the record needs to be changed? Name, aliases, website, external IDs
Description of change: 
1. Change name to Consejería de Educación, Universidades, Ciencia y Portavocía
2. Move current name Consejería de Educación, Juventud y Deporte to aliases
3. Add website: https://www.comunidad.madrid/centros/consejeria-educacion-universidades-ciencia-portavocia
4. Add Funder ID [501100010774](http://dx.doi.org/10.13039/501100010774)

Note: These changes were identified as part of long-tail Funder Registry reconciliation. 


Update: change.name==Consejería de Educación, Universidades, Ciencia y Portavocía; add.aliases==Consejería de Educación, Juventud y Deporte; replace.links==https://www.comunidad.madrid/centros/consejeria-educacion-universidades-ciencia-portavocia; add.FundRef==501100010774;$",
Ready for sign-off ,1686384097,3129,https://github.com/ror-community/ror-updates/issues/3129,open,level 2; update record; jaguar,2023-04-27 08:33:32,2023-04-27 15:34:52,"Modify the information in an existing ROR record: 
IETR https://ror.org/013q33h79
","Summary of request: Modify the information in an existing ROR record

Update record:
Name of organization: IETR
ROR ID: https://ror.org/013q33h79
Which part of the record needs to be changed? Other IDs for the organization, Something else
Description of change: Parent organization  : 
- https://ror.org/02feahw73
- Other ID : IDREF : https://www.idref.fr/149256035Copier cet identifiant (PPN)
RNSR : 200212224H
- publications website : https://hal.science/IETR

Update: add.Wikidata==Q30261383; replace.links==https://www.ietr.fr;$

Related organizations: https://ror.org/02feahw73 (parent)
","adambuttrick
04/27/2023, 15:34:42 | 04/27/2023, 15:34:42
comment_text: CNRS is correctly identified as a parent. Other IDs are not supported in ROR.

---
"
Ready for sign-off ,1686384121,3130,https://github.com/ror-community/ror-updates/issues/3130,open,level 2; update record; jaguar,2023-04-27 08:33:33,2023-04-27 15:40:48,"Add a new organization to ROR: 
 
Centre Atlantique de philosophie","Summary of request: Add a new organization to ROR

Name of organization: Centre Atlantique de Philosophie
Website: http://caphi.univ-nantes.fr
Link to publications: http://caphi.univ-nantes.fr/-Publications-
Organization type: Facility (A specialized facility where research takes place, such as a laboratory or telescope or dedicated research area)
Wikipedia page: 
Wikidata ID: Q52607254
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Aliases:
Labels:
Acronym/abbreviation: CAPHI
Related organizations: Parent institutions : https://ror.org/015m7wh34 (parent) https://ror.org/03gnr7b55 (parent) https://ror.org/01b8h3982 (parent)
City: Nantes
Country: France
Geonames ID: 2990969
Year established: 2017
How will a ROR ID for this organization be used? To acknowledge a research facility

Other information about this request: ","ror-curator-bot
04/27/2023, 14:56:59 | 04/27/2023, 14:56:59
comment_text: Publication affiliation usage: https://doi.org/10.15122/isbn.978-2-8124-2138-9; https://doi.org/10.1017/cbo9781316338797.012; https://doi.org/10.1007/s11229-019-02398-0; https://doi.org/10.6035/recerca.2019.24.1.3; https://doi.org/10.1051/pmed/2019020; https://doi.org/10.3917/herm.069.0013; https://doi.org/10.4000/rfsic.717; https://doi.org/10.1215/00294527-3882234; https://doi.org/10.1093/oso/9780198746881.003.0006; https://doi.org/10.1017/s0007087421000625; https://doi.org/10.1016/j.sger.2016.09.005; https://doi.org/10.1002/da.22626; https://doi.org/10.7202/1065692ar; https://doi.org/10.1051/pmed/2019020; https://doi.org/10.1016/j.encep.2018.10.006; https://doi.org/10.1016/j.etiqe.2021.09.003; https://doi.org/10.1016/j.admp.2018.11.001; 
Potential aliases: Centre Atlantique de philosophie; CAPHI

---
adambuttrick
04/27/2023, 15:38:02 | 04/27/2023, 15:38:02
comment_text: French research unit that would be added as part of RNSR reconciliation. Funds and employs researchers. Solid affiliation usage. Can be added.

---
"
Ready for sign-off ,1686408433,3132,https://github.com/ror-community/ror-updates/issues/3132,open,level 2; update record; jaguar,2023-04-27 08:47:03,2023-04-27 15:44:37,"Modify the information in an existing ROR record: 
Western Institute of Law and Europe https://ror.org/030ewzw66
","Summary of request: Modify the information in an existing ROR record

Update record:
Name of organization: Western Institute of Law and Europe
ROR ID: https://ror.org/030ewzw66
Which part of the record needs to be changed? Other IDs for the organization, Something else
Description of change: - Parent organization : https://ror.org/02feahw73
- Other ID : ISNI : https://isni.org/isni/0000000105197461
- IDREF : https://www.idref.fr/139767924
- RNSR :  200812291E
- Publications website : https://hal.science/IODE
- Website : https://iode.univ-rennes.fr/en

Update: replace.ISNI==0000 0001 0519 7461; replace.links==https://iode.univ-rennes.fr;$

Related organizations: https://ror.org/02feahw73 (parent)","ror-curator-bot
04/27/2023, 14:59:03 | 04/27/2023, 14:59:03
comment_text: Update: add.ISNI==0000000105197461 add.links==https://hal.science/IODE replace.links==https://iode.univ-rennes.fr/en;$

---
adambuttrick
04/27/2023, 15:44:26 | 04/27/2023, 15:44:26
comment_text: ISNI and website are correct for the org and parent is properly identified. Other IDs are not supported.

---
"
Ready for sign-off ,1686429177,3133,https://github.com/ror-community/ror-updates/issues/3133,open,level 2; update record; jaguar,2023-04-27 08:59:55,2023-04-27 15:48:12,"Add a new organization to ROR: 
 
Centre de droit des affaires","Summary of request: Add a new organization to ROR

Name of organization: Centre de droit des affaires
Website: https://cda.univ-rennes.fr
Link to publications: https://hal.science/CDA-PR
Organization type: Facility (A specialized facility where research takes place, such as a laboratory or telescope or dedicated research area)
Wikipedia page: 
Wikidata ID: Q52604664
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Aliases: Institute for Business Law 
Labels:
Acronym/abbreviation: CDA
Related organizations: Parent organizations : https://ror.org/015m7wh34 (parent)
City: Rennes
Country: France
Geonames ID: 2983990
Year established: 2000
How will a ROR ID for this organization be used? To acknowledge a research facility

Other information about this request: Other IDS : 
- IDREF : https://www.idref.fr/137430728
- RNSR : 200014494J","ror-curator-bot
04/27/2023, 14:58:25 | 04/27/2023, 14:58:25
comment_text: Publication affiliation usage: https://doi.org/10.3166/dn.13.3.153-177; https://openalex.org/W573923960; https://doi.org/10.3917/ride.213.0345; https://doi.org/10.3406/juro.1992.1999; https://doi.org/10.7202/1023852ar; https://openalex.org/W2760526760; https://openalex.org/W3095476146; https://openalex.org/W3096613545; https://openalex.org/W3155252116; https://openalex.org/W3124499182; https://doi.org/10.1016/s0010-2180(03)00125-1; https://doi.org/10.1111/jvh.12351; https://doi.org/10.1016/j.jhep.2018.05.036; https://doi.org/10.1111/add.14393; https://doi.org/10.1080/1046669x.2013.747862; https://openalex.org/W3124955880; https://doi.org/10.1007/978-3-7908-2867-2_13; https://doi.org/10.4467/22996834flr.21.009.13977; 
Potential aliases: Centre de droit des affaires; CDA; Institute for Business Law
Summary: The Centre de droit des affaires at the Université de Rennes focuses on research in corporate, heritage, and tax law and hosts conferences on business and legal issues.

---
adambuttrick
04/27/2023, 15:48:06 | 04/27/2023, 15:48:06
comment_text: French research unit that would be added as part of RNSR reconciliation. Funds and employs researchers. Solid affiliation usage. Should be added.

---
"
Ready for sign-off ,1686452456,3134,https://github.com/ror-community/ror-updates/issues/3134,open,level 2; update record; jaguar,2023-04-27 09:14:32,2023-04-27 15:49:36,"Add a new organization to ROR: 
 
Institut du droit public et de la science politique","Summary of request: Add a new organization to ROR

Name of organization: Institut du droit public et de la science politique
Website: https://idpsp.univ-rennes.fr
Link to publications: https://hal.science/IDPSP
Organization type: Facility (A specialized facility where research takes place, such as a laboratory or telescope or dedicated research area)
Wikipedia page: 
Wikidata ID:Q52606151
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Aliases:
Labels:
Acronym/abbreviation: IDPSP
Related organizations: parent organization : https://ror.org/015m7wh34 (parent)
City: Rennes
Country: France
Geonames ID: 2983990
Year established: 2012
How will a ROR ID for this organization be used? To acknowledge a research facility

Other information about this request: Other IDS :
- IDREF :  https://www.idref.fr/167392719
- RNSR : 201220088M","ror-curator-bot
04/27/2023, 14:57:43 | 04/27/2023, 14:57:43
comment_text: Publication affiliation usage: https://openalex.org/W2730040098; https://openalex.org/W2727520038; https://doi.org/10.3917/rpec.171.0003; https://doi.org/10.1163/15718093-12540384; https://doi.org/10.14375/np.9782340023956; https://doi.org/10.4000/quaderni.1101; https://doi.org/10.1016/j.forsciint.2020.110258; https://openalex.org/W1563930972; https://doi.org/10.3406/afdi.2010.4622; https://doi.org/10.4324/9780429452734-1_8; https://doi.org/10.1007/978-94-6265-411-2_3; https://doi.org/10.1097/md.0000000000018295; https://doi.org/10.1051/sm/2015009; https://doi.org/10.1007/s00414-019-02062-9; https://doi.org/10.1163/15718034-12341290; https://doi.org/10.1016/j.eurpsy.2014.09.137; https://doi.org/10.1163/15718034-12341307; https://doi.org/10.1016/j.tiv.2020.104842; https://doi.org/10.3390/ijms22052741; https://doi.org/10.1016/j.jesf.2021.01.001; 
Potential aliases: Institut du droit public et de la science politique; IDPSP; UR 4640
Summary: IDPSP is a research institute specializing in public law and political science, producing publications and initiatives on topics such as environmental disputes, international justice, and humor in education.

---
adambuttrick
04/27/2023, 15:49:30 | 04/27/2023, 15:49:30
comment_text: French research unit that would be added as part of RNSR reconciliation. Funds and employs researchers. Solid affiliation usage. Should be added.

---
"
