column_name,issue_id,issue_number,url,state,labels,created_at,updated_at,title,body,comments
Second review,1129833763,479,https://github.com/ror-community/ror-updates/issues/479,open,level 1; new record; jaguar,2022-02-10 10:54:46,2022-02-16 00:43:40,"Add a new organization to ROR: 
 
French Statistical Society (SFdS)","Name of organization: French Statistical Society
Website: https://www.sfds.asso.fr/
Link to publications: ""https://computo.sfds.asso.fr/"", ""http://statistique-et-societe.fr/"" 
Organization type: Nonprofit (A non-profit and non-governmental organization involved in conducting or funding research)
Wikipedia page: https://en.wikipedia.org/wiki/French_Statistical_Society
Wikidata ID: https://www.wikidata.org/wiki/Q3488327
ISNI ID: 0000 0001 2152 0652
GRID ID: 
Crossref Funder ID: 
Aliases: 
Labels: Société Française de Statistique*French
Acronym/abbreviation: SFdS
Related organizations: 
City: Paris
Country: France
Geonames ID: 2988507
Year established: 1997
How will a ROR ID for this organization be used? To identify affiliations for research publications
Other information about this request: ","adambuttrick
02/10/2022, 15:47:03 | 02/10/2022, 15:50:00
comment_text: Independent academic society in Paris with roots dating back to the 1800s. Publishes four journals on statistical topics (http://journal-sfds.fr ; http://statistique-et-enseignement.fr ; http://statistique-et-societe.fr/ ; http://csbigs.fr/). Clearly involved with research and should be added to ROR

ORCID affiliation usage: https://orcid.org/0000-0003-4297-1334 ; https://orcid.org/0000-0001-6275-5888 ; https://orcid.org/0000-0002-3406-5887

---
"
Second review,1139362643,489,https://github.com/ror-community/ror-updates/issues/489,open,level 1; new record; jaguar,2022-02-16 00:45:38,2022-03-25 17:31:24,"Add a new organization to ROR: 
 
Oku Okut Derneği","Summary of request: Add a new organization to ROR

Update record:
Name of organization: 
ROR ID: 
Which part of the record needs to be changed? 
Description of change: 

Merge/split/deprecate records:
Organizations affected by this change:
ROR ID(s) of organization(s) affected by this change: 
How should the record(s) be changed? 

Add record:
Name of organization: Oku Okut Derneği
Website: https://www.okuokut.org/
Link to publications: https://yayin.okuokut.org/okuokut
Organization type: Nonprofit (A non-profit and non-governmental organization involved in conducting or funding research)
Wikipedia page: 
Wikidata ID: Q110946274
ISNI ID: https://isni.org/isni/0000000506276072
GRID ID: 
Crossref Funder ID: 
Aliases: Oku Okut Association, Oku Okut Dernegi
Labels:
Acronym/abbreviation: OKU OKUT
Related organizations: Oku Okut Yayınları, Oku Okut Akademi
City: Ankara
Country: Turkey
Geonames ID: 323786
Year established: 2020
How will a ROR ID for this organization be used? To identify affiliations for research publications, To acknowledge a research facility, To be integrated in a scholarly publishing system

Other information about this request: Oku Okut Association Annual Report-2021, https://yayin.okuokut.org/okuokut/catalog/view/ekitap/978-605-71294-1-3/67","adambuttrick
02/16/2022, 01:14:01 | 02/16/2022, 01:16:20
comment_text: Appears to be a relatively new, open access publishing imprint focused on the humanities and social sciences. Does publish work by researchers at universities in Turkey (e.g. https://yayin.okuokut.org/okuokut/catalog/book/978-605-74416-1-4), so appears in scope for ROR.

Google Scholar affiliation usage: https://scholar.google.com/citations?user=Cxnd6TcAAAAJ

---
drademir
02/18/2022, 16:31:37 | 02/18/2022, 16:37:14
comment_text: Oku Okut Derneği Wikidata ID: Q110946274, https://www.wikidata.org/wiki/Q110946274
Organisation ID (OID): E10291891, https://webgate.ec.europa.eu/erasmus-esc/index/organisations/search-for-an-organisation
About Oku Okut Association: https://www.okuokut.org/hakkimizda/
Oku Okut Publishing ISBN Prefix: 978-605-74416
About Oku Okut Publishing: https://www.okuokut.org/oku-okut-yayinlari/
Catalog: https://yayin.okuokut.org/okuokut/catalog

---
drademir
03/25/2022, 17:31:02 | 03/25/2022, 17:31:24
comment_text: Oku Okut Derneği | Oku Okut Association:
Oku Okut Yayinlari DOI prefix: 10.55709
https://www.crossref.org/members/prep/34564

---
"
Second review,1141065980,493,https://github.com/ror-community/ror-updates/issues/493,open,level 1; new record; jaguar,2022-02-17 09:16:07,2022-02-22 15:31:49,"Add a new organization to ROR: 
 
Southern Urals biophysics institute","Summary of request: Add a new organization to ROR


Name of organization: Southern Urals Biophysics Institute
Website: http://ib.subi.su/
Link to publications: 10.1007/s00411-017-0688-3
Organization type: Government (An organization that is part of or operated by a national or regional government and that conducts or supports research)
Wikipedia page: 
Wikidata ID: 
ISNI ID: https://isni.org/isni/0000000406201495
GRID ID: 
Crossref Funder ID: 
Aliases:
Labels: Ûžno-Ural'skij institut biofiziki*Slovenian;  Южно-Уральский институт биофизики*Russian;
Acronym/abbreviation: SUBI
Related organizations: 
City: Ozersk
Country: Russia
Geonames ID: 1538634
Year established: 1953
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets

Other information about this request: Please don`t support the name ""FGUP Uzno-Ural'skij institut biofiziki Federal'nogo mediko-biologiceskogo agentstva Rossii"" like ISNI. We need use only ""Southern Urals Biophysics Institute"" name.","adambuttrick
02/17/2022, 15:50:12 | 02/17/2022, 15:50:12
comment_text: Federal-level biophysics research institute in the Russian Federation with solid publication affiliation usage. Top-level entity. Should be added to ROR.

ORCID affiliation usage: https://orcid.org/0000-0001-8807-9494; https://orcid.org/0000-0002-2113-429X ; https://orcid.org/0000-0001-9177-4666 ; https://orcid.org/0000-0003-4757-7969

Publication affiliation usage: https://www.researchgate.net/institution/Southern-Ural-Biophysics-Institute

---
cvetkov321
02/21/2022, 08:28:09 | 02/21/2022, 08:28:09
comment_text: Hello! Please tell me I should do something to add my institution (Southern Urals Biophysics Institute) to ROR or should I just wait? Best regards, Nikolay Tsvetkov.

---
adambuttrick
02/22/2022, 15:31:49 | 02/22/2022, 15:31:49
comment_text: @cvetkov321 There is nothing more we need at this time. Every request requires two curators to approve it before being included in a release. Please allow us time to work through this process and continue to watch this issue for updates on its status.

---
"
Second review,1143801929,495,https://github.com/ror-community/ror-updates/issues/495,open,level 1; new record; jaguar,2022-02-18 21:34:51,2022-02-19 17:35:02,"Add a new organization to ROR: 
 
Institut für Axiologische Forschungen","Summary of request: Add a new organization to ROR

Name of organization: Institute of Axiological Research
Website: https://www.iaf.ac.at
Link to publications: http://dx.doi.org/10.25180/lj
Organization type: Nonprofit (A non-profit and non-governmental organization involved in conducting or funding research)
Wikipedia page: 
Wikidata ID: Q74547450
ISNI ID: 0000 0001 2168 3806
GRID ID: 
Crossref Funder ID: 
Aliases: Institut für Axiologische Forschungen*German
Labels:
Acronym/abbreviation: IAF
Related organizations: 
City: Vienna
Country: Austria
Year established: 1999
Geonames ID: 2761369
How will a ROR ID for this organization be used? To identify affiliations for research publications, To be integrated in a scholarly publishing system

Other information about this request: The field of scientific activity of the Institite is ""philosophical and interdisciplinary value research"" and the institute is registret in Austria with number ZVR: 818 739 280","adambuttrick
02/18/2022, 21:54:13 | 02/18/2022, 21:54:13
comment_text: Austrian philosophical institute that publishes the journal, _Labyrinth: An International Journal for Philosophy, Value Theory and Sociocultural Hermeneutics_. Long standing, top-level entity. Referenced in philosophy articles and used as a secondary affiliation (e.g., https://www.academia.edu/download/3252333/RaynovaArticle.pdf). Looks to be in scope for ROR.

---
"
Second review,1145799877,498,https://github.com/ror-community/ror-updates/issues/498,open,level 1; new record; jaguar,2022-02-21 13:26:17,2022-02-22 16:58:04,"Add a new organization to ROR: 
 
IGEO (Institute of Geosciences, Albania)","Name of organization: Institute of Geosciences
Website: https://www.geo.edu.al/site
Link to publications: https://www.geo.edu.al/site
Organization type: Education
Wikipedia page: https://sq.wikipedia.org/wiki/Instituti_i_Gjeoshkencave,_Energjise,_Ujit_dhe_Mjedisit
Wikidata ID: Q25567328
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Aliases: Institute of Geosciences, Water and Environment
Labels:
Acronym/abbreviation: IGEO; IGJEO; IGJEUM; IGEWE
Labels: Instituti i Gjeoshkecave, Ujrave dhe Mjedisit*Albanian
Related organizations: 
City: Tirana
Country: Albania
Geonames ID: 3183875
Year established: 1968
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To be integrated in a scholarly publishing system

Other information about this request: ","adambuttrick
02/22/2022, 15:57:26 | 02/22/2022, 15:58:07
comment_text: Geoscience research institute in Albania. Publishes monthly seismological and climate-related datasets (https://www.geo.edu.al/newweb/?fq=sizmobuletinet&gj=gj2&kid=36 ; . While technically operating under the Polytechnic University of Tirana, is used as an independent affiliation in peer-reviewed journals (e.g. https://www.geo.edu.al/skedaret/Handy_etal_19_Tectonics.pdf) and as a leading affiliation (https://www.researchgate.net/profile/Kujtim-Onuzi). Believe this should be added to ROR.

Similar organizations in ROR: https://ror.org/0121whw78 ; https://ror.org/04ge02x20

---
"
Second review,1145857477,499,https://github.com/ror-community/ror-updates/issues/499,open,level 1; new record; jaguar; relationship,2022-02-21 14:15:43,2022-02-22 17:00:59,"Add a new organization to ROR: 
 
Data Observatory Foundation","Name of organization: Data Observatory Foundation
Website: www.dataobservatory.net
Link to publications: www.dataobservatory.net
Organization type: Nonprofit (A non-profit and non-governmental organization involved in conducting or funding research)
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Aliases: Data Observatory, Observatorio de Datos
Labels:
Acronym/abbreviation: DO
Related organizations: https://ror.org/0326knt82 (parent); https://ror.org/00as45r68 (parent); 
City: Santiago
Country: Chile
Geonames ID: 3871336
Year established: 2020
How will a ROR ID for this organization be used? To identify affiliations for research publications, To identify affiliations for datasets, To acknowledge research funders, To acknowledge a research facility

Other information about this request: We've recently been added as a DataCite Consortium and we want to register as a suggestion from them (we wasn't fully aware about the existence of this kind of register)","adambuttrick
02/22/2022, 16:07:35 | 02/22/2022, 16:25:08
comment_text: Data hosting service, similar to ROR parent Datacite and referred by them, created as a joint effort between Chile's Ministry of Science, Technology, Knowledge and Innovation (need to create record for ROR), Ministry of Economy, and Universidad Adolfo Ibáñez. Hosts state-level COVID-19 datasets, earth and marine satellite data monitoring data, and astronomical research classifiers. Should be added to ROR.

---
adambuttrick
02/22/2022, 16:31:28 | 02/22/2022, 16:31:28
comment_text: #502 would be the parent.

---
"
Second review,1147520448,503,https://github.com/ror-community/ror-updates/issues/503,open,level 1; new record; jaguar,2022-02-23 00:58:48,2022-02-23 16:41:32,"Add a new organization to ROR: 
 
MIRCORE","Name of organization: MIRCORE
Website: https://www.mircore.org/
Link to publications: https://doi.org/10.1083/jcb.201103097, DOI: 10.1126/scisignal.2001744, DOI: 10.3233/JAD-200917, etc
Organization type: Nonprofit (A non-profit and non-governmental organization involved in conducting or funding research)
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Aliases: miRcore
Labels:
Acronym/abbreviation: MIRCORE
Related organizations: 
City: Ann Arbor
Country: United States
Geonames ID: 4984247
Year established: 2009
How will a ROR ID for this organization be used? To identify affiliations for research publications, To be integrated in a scholarly publishing system

Other information about this request: ","adambuttrick
02/23/2022, 15:24:50 | 02/23/2022, 15:24:50
comment_text: Nonprofit that provides microgrants for genetics research, primarily in the areas of disease treatment and resolution. Independent entity with solid publication affiliation usage. Should be added to ROR.

Publication affiliation usage: https://www.mircore.org/publications/
Google Scholar affiliation usage: https://scholar.google.com/citations?user=nUYpAKUAAAAJ
ORCID affiliation usage: https://orcid.org/0000-0001-5840-3900

---
"
Second review,1148288987,504,https://github.com/ror-community/ror-updates/issues/504,open,level 1; new record; jaguar; org-requested,2022-02-23 16:09:45,2022-02-23 16:41:03,"Add a new organization to ROR: 
 
Phanes Biotech ","Name of organization: Phanes Biotech
Website: www.phanesbiotech.com
Link to publications: 10.1002/ana.26252
Organization type: Company (A private for-profit corporate entity involved in conducting or sponsoring research)
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Aliases: PBio
Labels:
Acronym/abbreviation:
Related organizations: 
City: Philadelphia 
Country: United States of America
Geonames ID: 4560349
Year established: 2020
How will a ROR ID for this organization be used? To identify affiliations for research publications, To acknowledge research funders

Other information about this request: ","adambuttrick
02/23/2022, 16:35:24 | 02/23/2022, 16:36:23
comment_text: Biotechnology company whose primary focus is a novel Alzheimer's therapeutic. Principals are all well-credentialed with solid publication history (https://phanesbiotech.com/publications/), but do not appear to use Phanes Biotech as their primary affiliation. That being said, is clearly involved with drug development and research and we have many similar companies in ROR (e.g. https://ror.org/02eb03q95 ; https://ror.org/043f79m81).

---
"
Second review,1149443329,506,https://github.com/ror-community/ror-updates/issues/506,open,level 1; new record; lion,2022-02-24 15:43:36,2022-03-11 16:52:22,"Split an existing ROR record into two or more records: 
 
ENEA-TALIAN NATIONAL AGENCY FOR NEW TECHNOLOGIES, ENERGY AND SUSTAINABLE ECONOMIC DEVELOPMENThttps://ror.org/02an8es95","Merge/split/deprecate records:
Organizations affected by this change:ENEA-TALIAN NATIONAL AGENCY FOR NEW TECHNOLOGIES, ENERGY AND SUSTAINABLE ECONOMIC DEVELOPMENT
ROR ID(s) of organization(s) affected by this change: https://ror.org/02an8es95
How should the record(s) be changed? Please add the folowing insitutions:
1- ENEA Frascati Research Centre, Via E. Fermi 45 I-00044 Frascati (Roma) Italy
2- ENEA- Casaccia Research Centre via Anguillarese 301 I-00123 Roma, Italy
3- ENEA- Brasimone Research Centre Località Brasimone, I-40032 Camugnano (Bologna, Italy 
4- ENEA- Italian Natiional Institute of Ionizing Radiation Metrology, via Anguillarese 301 I-00123 Roma, Italy","adambuttrick
02/24/2022, 16:06:55 | 02/24/2022, 16:11:58
comment_text: This should not be processed as a split, but a request to add four new children for Italy's National Agency for New Technologies, Energy and Sustainable Economic Development. Assuming approval, I'll create separate record requests for each of these.

As to their scope, these do appear to be independent, national-level research facilities with their own specific focuses. Each has its own publication affiliation usage as well:

ENEA Casaccia Research Centre
https://ieeexplore.ieee.org/author/37085367280

ENEA Frascati Research Centre
https://ieeexplore.ieee.org/author/37314209000

ENEA Brasimone
https://ieeexplore.ieee.org/author/37086187013

ENEA Italian Natiional Institute of Ionizing Radiation Metrology
https://ieeexplore.ieee.org/author/37529688700

Use case is similar to #49 and #386, tracking research outputs. I think these should be added to ROR.

---
"
Second review,1149279611,505,https://github.com/ror-community/ror-updates/issues/505,open,level 1; new record; jaguar,2022-02-24 13:18:12,2022-02-24 16:31:51,"Add a new organization to ROR: 
 
Spanish Polar Data Centre","Name of organization: Spanish Polar Data Centre
Website: cndp.utm.csic.es
Link to publications: .
Organization type: Other (Use this category for any organization that does not fit the categories above)
Wikipedia page: 
Wikidata ID: 
ISNI ID: 
GRID ID: 
Crossref Funder ID: 
Aliases: Centro Nacional de Datos Polares*Spanish
Labels:
Acronym/abbreviation: CNDP
Related organizations: https://ror.org/02gfc7t72 (parent) ; https://ror.org/042j94f44 (parent)
City: Barcelona
Country: Spain
Geonames ID: 3128760
Year established: 1999
How will a ROR ID for this organization be used? To identify affiliations for datasets, To be used in DataCite

Other information about this request: ","adambuttrick
02/24/2022, 16:29:27 | 02/24/2022, 16:31:12
comment_text: Organization that exists to fulfill Spain's obligations under the Antarctic Treaty, specifically as it relates to the free exchange of scientific datasets produced by Spanish researchers working in the polar regions. See Spanish government's description [here](https://www.ciencia.gob.es/Organismos-y-Centros/Comite-Polar-Espanol/Centro-Nacional-de-Datos-Polares.html;jsessionid=ACBDF8CE4ED75BEB164AD297765FDE97.2) . Stores and publishes these datasets (http://cndp.utm.csic.es/catalogue/srv/eng/catalog.search#/search?resultType=details&sortBy=relevance&from=1&to=20). Should be added to ROR.

---
"
